,longitudes,latitudes,spatial_counts
0,-125.4,40.1,3.7049192829999996e-06
1,-125.4,40.2,7.79066048e-06
2,-125.4,40.3,0.00011999212720000002
3,-125.4,40.4,0.00011999212720000002
4,-125.4,40.5,1.7074875349999997e-05
5,-125.4,40.6,0.0009199881580000002
6,-125.4,40.7,1.674332e-05
7,-125.4,40.8,1.2173657029999999e-05
8,-125.4,40.9,8.55010432e-06
9,-125.4,41.0,7.60366065e-05
10,-125.3,40.0,2.74910892e-06
11,-125.3,40.1,3.950885739999999e-06
12,-125.3,40.2,7.102661020000001e-06
13,-125.3,40.3,0.00015999987310000004
14,-125.3,40.4,0.0002800075557
15,-125.3,40.5,1.1236435479999999e-05
16,-125.3,40.6,0.00035998971409999996
17,-125.3,40.7,9.213326009999999e-05
18,-125.3,40.8,0.0002800075557
19,-125.3,40.9,2.356087018e-05
20,-125.3,41.0,5.29044024e-05
21,-125.3,41.1,3.99999682e-05
22,-125.3,41.2,6.061661859999999e-06
23,-125.3,41.3,1.090510246e-05
24,-125.3,41.4,1.949354002e-06
25,-125.3,41.5,2.338864808e-06
26,-125.3,41.6,3.077075327e-06
27,-125.3,41.7,2.741742267e-06
28,-125.3,41.8,2.3528981309999996e-06
29,-125.3,41.9,1.7088319750000001e-06
30,-125.3,42.0,1.4258099829999999e-06
31,-125.3,42.1,1.0928657980000002e-06
32,-125.3,42.2,9.13032608e-07
33,-125.3,42.3,8.6929931e-07
34,-125.2,39.8,1.742576392e-06
35,-125.2,39.9,2.212209359e-06
36,-125.2,40.0,2.9380087809999996e-06
37,-125.2,40.1,4.20166333e-06
38,-125.2,40.2,7.250660909999999e-06
39,-125.2,40.3,4.2265522e-05
40,-125.2,40.4,3.312064036e-05
41,-125.2,40.5,1.9467206750000002e-05
42,-125.2,40.6,1.576398746e-05
43,-125.2,40.7,0.0008399993329999999
44,-125.2,40.8,0.0007199883169999999
45,-125.2,40.9,0.00015999987310000004
46,-125.2,41.0,2.00864285e-05
47,-125.2,41.1,4.333107669999999e-06
48,-125.2,41.2,2.8452088290000005e-06
49,-125.2,41.3,2.387453661e-06
50,-125.2,41.4,1.791787461e-06
51,-125.2,41.5,1.62266538e-06
52,-125.2,41.6,1.6893875450000001e-06
53,-125.2,41.7,1.6402431419999998e-06
54,-125.2,41.8,1.466532168e-06
55,-125.2,41.9,1.234632357e-06
56,-125.2,42.0,1.052910277e-06
57,-125.2,42.1,8.93110403e-07
58,-125.2,42.2,7.665660589999999e-07
59,-125.2,42.3,7.02821664e-07
60,-125.2,42.4,5.489328939999999e-07
61,-125.2,42.5,4.5855519200000003e-07
62,-125.2,42.6,3.9244413199999994e-07
63,-125.2,42.7,3.4348194939999996e-07
64,-125.2,42.8,3.0598420160000006e-07
65,-125.2,42.9,2.7620756070000004e-07
66,-125.1,39.7,1.486321039e-06
67,-125.1,39.8,1.8404429799999998e-06
68,-125.1,39.9,2.3579981500000004e-06
69,-125.1,40.0,3.154308608e-06
70,-125.1,40.1,4.5371075e-06
71,-125.1,40.2,7.778882720000001e-06
72,-125.1,40.3,7.99932699e-05
73,-125.1,40.4,2.4853980260000004e-05
74,-125.1,40.5,1.602854277e-05
75,-125.1,40.6,0.00035998971409999996
76,-125.1,40.7,0.0007999326989999999
77,-125.1,40.8,0.000399999682
78,-125.1,40.9,2.5248535479999998e-05
79,-125.1,41.0,6.028550769999999e-06
80,-125.1,41.1,6.3697727299999995e-06
81,-125.1,41.2,2.4564091670000002e-06
82,-125.1,41.3,1.9287873610000003e-06
83,-125.1,41.4,1.6203987160000002e-06
84,-125.1,41.5,1.396076667e-06
85,-125.1,41.6,1.320932284e-06
86,-125.1,41.7,1.239954576e-06
87,-125.1,41.8,1.127287996e-06
88,-125.1,41.9,9.996547609999998e-07
89,-125.1,42.0,8.81465965e-07
90,-125.1,42.1,7.857549309999999e-07
91,-125.1,42.2,7.39221635e-07
92,-125.1,42.3,7.17454985e-07
93,-125.1,42.4,5.56544003e-07
94,-125.1,42.5,4.5128853000000003e-07
95,-125.1,42.6,3.861652489e-07
96,-125.1,42.7,3.396719525e-07
97,-125.1,42.8,3.039642038e-07
98,-125.1,42.9,3.1434308390000004e-07
99,-125.0,39.5,1.1010657960000002e-06
100,-125.0,39.6,1.282132312e-06
101,-125.0,39.7,1.5508210039999998e-06
102,-125.0,39.8,1.995587303e-06
103,-125.0,39.9,2.5441424329999996e-06
104,-125.0,40.0,3.425097277e-06
105,-125.0,40.1,5.06499598e-06
106,-125.0,40.2,3.99999682e-05
107,-125.0,40.3,9.156214950000001e-05
108,-125.0,40.4,0.00015999987310000004
109,-125.0,40.5,1.190087948e-05
110,-125.0,40.6,7.99932699e-05
111,-125.0,40.7,0.000440010751
112,-125.0,40.8,1.905831815e-05
113,-125.0,40.9,8.95088178e-06
114,-125.0,41.0,5.752439869999999e-06
115,-125.0,41.1,3.827563631e-06
116,-125.0,41.2,2.364453681e-06
117,-125.0,41.3,1.7459763879999998e-06
118,-125.0,41.4,1.44288774e-06
119,-125.0,41.5,1.2645878850000001e-06
120,-125.0,41.6,1.1504324190000002e-06
121,-125.0,41.7,1.05569916e-06
122,-125.0,41.8,9.60788124e-07
123,-125.0,41.9,8.65832644e-07
124,-125.0,42.0,7.798549359999999e-07
125,-125.0,42.1,7.21643871e-07
126,-125.0,42.2,8.337326700000001e-07
127,-125.0,42.3,1.783876359e-06
128,-125.0,42.4,6.04032854e-07
129,-125.0,42.5,4.4497742500000003e-07
130,-125.0,42.6,3.793130322e-07
131,-125.0,42.7,3.352208439e-07
132,-125.0,42.8,3.013497615e-07
133,-125.0,42.9,2.739620046e-07
134,-124.9,39.3,9.087659439999999e-07
135,-124.9,39.4,9.91043657e-07
136,-124.9,39.5,1.1191546640000003e-06
137,-124.9,39.6,1.318265614e-06
138,-124.9,39.7,1.609343161e-06
139,-124.9,39.8,2.094764999e-06
140,-124.9,39.9,2.742920043e-06
141,-124.9,40.0,3.7768636680000006e-06
142,-124.9,40.1,5.707551019999999e-06
143,-124.9,40.2,1.0149880839999998e-05
144,-124.9,40.3,3.99999682e-05
145,-124.9,40.4,1.7700541549999997e-05
146,-124.9,40.5,3.99999682e-05
147,-124.9,40.6,3.9341079899999995e-05
148,-124.9,40.7,7.0218833099999994e-06
149,-124.9,40.8,6.02599522e-06
150,-124.9,40.9,9.51488134e-06
151,-124.9,41.0,9.27143707e-06
152,-124.9,41.1,1.4719543870000001e-05
153,-124.9,41.2,2.3013537219999997e-06
154,-124.9,41.3,1.6531875769999998e-06
155,-124.9,41.4,1.3601322540000002e-06
156,-124.9,41.5,1.177510176e-06
157,-124.9,41.6,1.0508324989999998e-06
158,-124.9,41.7,9.50643689e-07
159,-124.9,41.8,8.621993139999998e-07
160,-124.9,41.9,7.814216010000002e-07
161,-124.9,42.0,7.114216590000001e-07
162,-124.9,42.1,6.6902169e-07
163,-124.9,42.2,8.033215839999999e-07
164,-124.9,42.3,2.6201756959999994e-06
165,-124.9,42.4,5.88243977e-07
166,-124.9,42.5,4.325440999999999e-07
167,-124.9,42.6,3.712241502e-07
168,-124.9,42.7,3.3011973879999996e-07
169,-124.9,42.8,2.9826198660000005e-07
170,-124.9,42.9,2.722031173e-07
171,-124.8,39.2,7.75488275e-07
172,-124.8,39.3,8.716548630000001e-07
173,-124.8,39.4,9.830881089999997e-07
174,-124.8,39.5,1.1930879380000001e-06
175,-124.8,39.6,1.3460878180000002e-06
176,-124.8,39.7,1.6578208769999999e-06
177,-124.8,39.8,2.1303538620000005e-06
178,-124.8,39.9,2.93877544e-06
179,-124.8,40.0,4.21810774e-06
180,-124.8,40.1,7.068883270000001e-06
181,-124.8,40.2,1.914754038e-05
182,-124.8,40.3,5.1764403399999997e-05
183,-124.8,40.4,1.716431969e-05
184,-124.8,40.5,3.3446528989999995e-05
185,-124.8,40.6,0.0005600106669999999
186,-124.8,40.7,7.99932699e-05
187,-124.8,40.8,5.45099568e-06
188,-124.8,40.9,7.99932699e-05
189,-124.8,41.0,5.5317733700000016e-06
190,-124.8,41.1,4.014330149999999e-06
191,-124.8,41.2,2.0833761240000005e-06
192,-124.8,41.3,1.566732086e-06
193,-124.8,41.4,1.293954526e-06
194,-124.8,41.5,1.1146546689999997e-06
195,-124.8,41.6,9.84910326e-07
196,-124.8,41.7,8.830970759999999e-07
197,-124.8,41.8,7.975660429999998e-07
198,-124.8,41.9,7.23543869e-07
199,-124.8,42.0,6.610661419999999e-07
200,-124.8,42.1,6.87199453e-07
201,-124.8,42.2,7.808993790000001e-07
202,-124.8,42.3,6.26699502e-07
203,-124.8,42.4,5.00321825e-07
204,-124.8,42.5,4.13321893e-07
205,-124.8,42.6,4.66744073e-07
206,-124.8,42.7,4.1045522899999994e-07
207,-124.8,42.8,3.807085858e-07
208,-124.8,42.9,2.701453411e-07
209,-124.7,39.0,6.32677274e-07
210,-124.7,39.1,6.952661139999999e-07
211,-124.7,39.2,7.72032721e-07
212,-124.7,39.3,8.659882e-07
213,-124.7,39.4,9.83932551e-07
214,-124.7,39.5,1.1418102029999999e-06
215,-124.7,39.6,1.364165585e-06
216,-124.7,39.7,1.6916875419999997e-06
217,-124.7,39.8,2.2010649159999993e-06
218,-124.7,39.9,3.0611743460000003e-06
219,-124.7,40.0,4.7185518000000005e-06
220,-124.7,40.1,8.573882090000002e-06
221,-124.7,40.2,7.486872940000001e-05
222,-124.7,40.3,0.0003200064126
223,-124.7,40.4,5.446329010000001e-05
224,-124.7,40.5,7.99932699e-05
225,-124.7,40.6,0.0002800075557
226,-124.7,40.7,1.7273764070000004e-05
227,-124.7,40.8,5.5188845e-06
228,-124.7,40.9,4.557440819999999e-06
229,-124.7,41.0,3.463175026000001e-06
230,-124.7,41.1,2.4856313569999997e-06
231,-124.7,41.2,1.867376294e-06
232,-124.7,41.3,1.48510993e-06
233,-124.7,41.4,1.239721235e-06
234,-124.7,41.5,1.0669880410000003e-06
235,-124.7,41.6,9.671992319999998e-07
236,-124.7,41.7,8.356104470000001e-07
237,-124.7,41.8,7.51832736e-07
238,-124.7,41.9,6.81255014e-07
239,-124.7,42.0,6.21921728e-07
240,-124.7,42.1,5.88843976e-07
241,-124.7,42.2,5.558106720000001e-07
242,-124.7,42.3,7.241438700000001e-07
243,-124.7,42.4,4.48099645e-07
244,-124.7,42.5,3.94188577e-07
245,-124.7,42.6,3.521874989e-07
246,-124.7,42.7,3.188164135e-07
247,-124.7,42.8,2.912164355e-07
248,-124.7,42.9,2.678975658e-07
249,-124.6,38.9,5.91377309e-07
250,-124.6,39.0,6.407439349999999e-07
251,-124.6,39.1,7.00777221e-07
252,-124.6,39.2,7.74921605e-07
253,-124.6,39.3,8.672548650000001e-07
254,-124.6,39.4,9.85888105e-07
255,-124.6,39.5,1.145376864e-06
256,-124.6,39.6,1.3701766859999997e-06
257,-124.6,39.7,1.7040319829999998e-06
258,-124.6,39.8,2.23555378e-06
259,-124.6,39.9,3.172597494e-06
260,-124.6,40.0,5.1844403e-06
261,-124.6,40.1,1.2322767949999998e-05
262,-124.6,40.2,0.0002800075557
263,-124.6,40.3,0.0003200064126
264,-124.6,40.4,0.0010799435870000001
265,-124.6,40.5,3.99999682e-05
266,-124.6,40.6,1.5007876910000001e-05
267,-124.6,40.7,1.509587693e-05
