,longitudes,latitudes,spatial_counts
0,-125.4,40.1,4.71288515e-06
1,-125.4,40.2,1.0759547019999999e-05
2,-125.4,40.3,2.9513532020000002e-05
3,-125.4,40.4,3.92655244e-05
4,-125.4,40.5,1.152854637e-05
5,-125.4,40.6,0.00017133653130000002
6,-125.4,40.7,9.38688144e-06
7,-125.4,40.8,5.527328939999999e-06
8,-125.4,40.9,4.068774549999999e-06
9,-125.4,41.0,3.173408587e-05
10,-125.3,40.0,2.504175786e-06
11,-125.3,40.1,3.7470192520000002e-06
12,-125.3,40.2,1.4227877610000001e-05
13,-125.3,40.3,4.89944055e-05
14,-125.3,40.4,5.38532905e-05
15,-125.3,40.5,1.378521137e-05
16,-125.3,40.6,1.611209829e-05
17,-125.3,40.7,3.163686381999999e-05
18,-125.3,40.8,4.5004408600000004e-05
19,-125.3,40.9,8.61288205e-06
20,-125.3,41.0,1.2947211949999999e-05
21,-125.3,41.1,2.269153754e-05
22,-125.3,41.2,3.2650418440000002e-06
23,-125.3,41.3,4.313774359999999e-06
24,-125.3,41.4,1.2577767800000003e-06
25,-125.3,41.5,1.2962878560000004e-06
26,-125.3,41.6,1.319921173e-06
27,-125.3,41.7,1.190454611e-06
28,-125.3,41.8,1.060465824e-06
29,-125.3,41.9,8.928326239999999e-07
30,-125.3,42.0,7.726882770000001e-07
31,-125.3,42.1,6.165884e-07
32,-125.3,42.2,5.440328999999999e-07
33,-125.3,42.3,8.17121574e-07
34,-125.2,39.8,1.11609911e-06
35,-125.2,39.9,1.4969877e-06
36,-125.2,40.0,2.0993872249999995e-06
37,-125.2,40.1,3.2986751609999994e-06
38,-125.2,40.2,6.704661330000001e-06
39,-125.2,40.3,2.486486914e-05
40,-125.2,40.4,4.083774540000001e-05
41,-125.2,40.5,2.199953806e-05
42,-125.2,40.6,9.584892279999999e-06
43,-125.2,40.7,0.0001503276585
44,-125.2,40.8,0.000191410959
45,-125.2,40.9,2.6492867859999997e-05
46,-125.2,41.0,1.07927692e-05
47,-125.2,41.1,4.2629966200000005e-06
48,-125.2,41.2,2.3632425730000003e-06
49,-125.2,41.3,1.522854447e-06
50,-125.2,41.4,1.4081655450000002e-06
51,-125.2,41.5,1.4064766530000001e-06
52,-125.2,41.6,1.0088325319999998e-06
53,-125.2,41.7,8.63343759e-07
54,-125.2,41.8,7.907771500000001e-07
55,-125.2,41.9,1.158543519e-06
56,-125.2,42.0,1.080265809e-06
57,-125.2,42.1,5.518106729999999e-07
58,-125.2,42.2,4.773440649999999e-07
59,-125.2,42.3,4.609440779999999e-07
60,-125.2,42.4,4.0369967899999994e-07
61,-125.2,42.5,3.2653862949999996e-07
62,-125.2,42.6,2.7815422390000004e-07
63,-125.2,42.7,2.4408425060000003e-07
64,-125.2,42.8,2.1620760469999998e-07
65,-125.2,42.9,1.92333181e-07
66,-125.1,39.7,9.104326089999999e-07
67,-125.1,39.8,1.1663324e-06
68,-125.1,39.9,1.8933873849999998e-06
69,-125.1,40.0,2.4811202509999993e-06
70,-125.1,40.1,3.351530668e-06
71,-125.1,40.2,9.961658749999999e-06
72,-125.1,40.3,2.6754089870000003e-05
73,-125.1,40.4,2.399464772e-05
74,-125.1,40.5,1.5638543170000004e-05
75,-125.1,40.6,7.908993709999999e-06
76,-125.1,40.7,4.75288511e-05
77,-125.1,40.8,0.0001114821334
78,-125.1,40.9,1.559676541e-05
79,-125.1,41.0,4.23632997e-06
80,-125.1,41.1,4.7859962e-06
81,-125.1,41.2,1.7471430530000002e-06
82,-125.1,41.3,1.5648765389999997e-06
83,-125.1,41.4,2.8755421590000004e-06
84,-125.1,41.5,6.624439179999998e-06
85,-125.1,41.6,9.97143651e-07
86,-125.1,41.7,7.586549520000001e-07
87,-125.1,41.8,6.859883449999999e-07
88,-125.1,41.9,1.078465811e-06
89,-125.1,42.0,1.054354719e-06
90,-125.1,42.1,5.49788451e-07
91,-125.1,42.2,4.47744089e-07
92,-125.1,42.3,4.2339966199999993e-07
93,-125.1,42.4,3.674263744e-07
