,longitudes,latitudes,spatial_counts
0,-125.4,40.1,5.089928200050422e-06
1,-125.4,40.2,2.066201865972972e-05
2,-125.4,40.3,0.00012062285059109
3,-125.4,40.4,0.00019428038920798612
4,-125.4,40.5,7.856571076401652e-05
5,-125.4,40.6,0.00033908482343768823
6,-125.4,40.7,4.519050922165374e-05
7,-125.4,40.8,2.0087514001814672e-05
8,-125.4,40.9,1.619881381971535e-05
9,-125.4,41.0,5.05551895900942e-05
10,-125.3,40.0,1.9094245320288588e-06
11,-125.3,40.1,5.596713515873466e-06
12,-125.3,40.2,2.2899772180286898e-05
13,-125.3,40.3,0.000144322084238692
14,-125.3,40.4,0.0002127546852874477
15,-125.3,40.5,6.312146718001524e-05
16,-125.3,40.6,7.997776471704663e-05
17,-125.3,40.7,7.83435154640065e-05
18,-125.3,40.8,2.4023165395014992e-05
19,-125.3,40.9,1.782666337025648e-05
20,-125.3,41.0,3.00419845746695e-05
21,-125.3,41.1,9.441220226941784e-05
22,-125.3,41.2,9.045648524331753e-06
23,-125.3,41.3,1.058450155277088e-05
24,-125.3,41.4,4.264412953759354e-06
25,-125.3,41.5,3.6127526467225995e-06
26,-125.3,41.6,2.2835543768184906e-06
27,-125.3,41.7,1.623772202071635e-06
28,-125.3,41.8,1.395909559915816e-06
29,-125.3,41.9,1.525674445019127e-06
30,-125.3,42.0,1.572004758390331e-06
31,-125.3,42.1,1.4154230144462168e-06
32,-125.3,42.2,1.0644287163872881e-06
33,-125.3,42.3,8.801001596925728e-07
34,-125.2,39.8,4.914389874785407e-07
35,-125.2,39.9,8.67666201272172e-07
36,-125.2,40.0,2.008750400181467e-06
37,-125.2,40.1,6.2534682369005204e-06
38,-125.2,40.2,2.6013094748266158e-05
39,-125.2,40.3,0.00013323238809141111
40,-125.2,40.4,0.00020325469069220687
41,-125.2,40.5,5.6589421079754706e-05
42,-125.2,40.6,4.0866392084743394e-05
43,-125.2,40.7,0.00011628733935397966
44,-125.2,40.8,4.133306269546342e-05
45,-125.2,40.9,1.794424589345949e-05
46,-125.2,41.0,1.5654264262801298e-05
47,-125.2,41.1,8.736538694823724e-06
48,-125.2,41.2,7.1855930463845985e-06
49,-125.2,41.3,5.932377596402493e-06
50,-125.2,41.4,3.7146176848851077e-06
51,-125.2,41.5,2.64628697708772e-06
52,-125.2,41.6,1.8683115407578549e-06
53,-125.2,41.7,1.386432426595515e-06
54,-125.2,41.8,1.1856604502803986e-06
55,-125.2,41.9,1.0408961807566865e-06
56,-125.2,42.0,1.012238822805984e-06
57,-125.2,42.1,8.902330840127739e-07
58,-125.2,42.2,6.865492305875571e-07
59,-125.2,42.3,5.42894028059945e-07
60,-125.2,42.4,3.7226624079054094e-07
61,-125.2,42.5,2.912745231614642e-07
62,-125.2,42.6,2.3397522515098942e-07
63,-125.2,42.7,1.9283526276594594e-07
64,-125.2,42.8,1.6026609964410328e-07
65,-125.2,42.9,1.4036459111259161e-07
66,-125.1,39.7,3.079765908888956e-07
67,-125.1,39.8,4.874413323735406e-07
68,-125.1,39.9,9.005548113230749e-07
69,-125.1,40.0,2.334863720399794e-06
70,-125.1,40.1,6.711032270671557e-06
71,-125.1,40.2,3.6070652357123994e-05
72,-125.1,40.3,0.0001856311887337554
73,-125.1,40.4,0.0001769444983605347
74,-125.1,40.5,7.015476800079582e-05
75,-125.1,40.6,3.919075972210325e-05
76,-125.1,40.7,3.219195397202467e-05
77,-125.1,40.8,2.590652422506415e-05
78,-125.1,40.9,1.360221518754913e-05
79,-125.1,41.0,1.219315749331201e-05
