,longitudes,latitudes,spatial_counts
0,-125.4,40.1,7.058036793025212e-06
1,-125.4,40.2,3.203683611336486e-05
2,-125.4,40.3,0.000143445082720545
3,-125.4,40.4,0.00022063803921899304
4,-125.4,40.5,9.855033461200826e-05
5,-125.4,40.6,0.0002250662753688441
6,-125.4,40.7,6.306092871082688e-05
7,-125.4,40.8,4.0268128900907344e-05
8,-125.4,40.9,3.3091092209857675e-05
9,-125.4,41.0,4.71888048150471e-05
10,-125.3,40.0,2.3273396085469294e-06
11,-125.3,40.1,8.069654857766733e-06
12,-125.3,40.2,3.640853693844345e-05
13,-125.3,40.3,0.00015912724438734598
14,-125.3,40.4,0.00023371140904372383
15,-125.3,40.5,8.879630715500761e-05
16,-125.3,40.6,8.147522130852333e-05
17,-125.3,40.7,9.261190773200325e-05
18,-125.3,40.8,4.68052516975075e-05
19,-125.3,40.9,3.319491818512824e-05
20,-125.3,41.0,3.601686818733475e-05
21,-125.3,41.1,6.406089762520891e-05
22,-125.3,41.2,1.3893224020965876e-05
23,-125.3,41.3,1.0049539724250442e-05
24,-125.3,41.4,4.915386140229677e-06
25,-125.3,41.5,3.6902399692333003e-06
26,-125.3,41.6,2.4481738668645953e-06
27,-125.3,41.7,1.7600704870617674e-06
28,-125.3,41.8,1.492799558118853e-06
29,-125.3,41.9,1.6019352231856447e-06
30,-125.3,42.0,1.63241331781062e-06
31,-125.3,42.1,1.468885215521303e-06
32,-125.3,42.2,1.0810840890164088e-06
33,-125.3,42.3,8.156271403516591e-07
34,-125.2,39.8,4.835988874522354e-07
35,-125.2,39.9,9.46523970976336e-07
36,-125.2,40.0,2.530908047967183e-06
37,-125.2,40.1,8.84452299487526e-06
38,-125.2,40.2,3.732500640933308e-05
39,-125.2,40.3,0.00015851849757570556
40,-125.2,40.4,0.00023132033923160342
41,-125.2,40.5,7.717041490487735e-05
42,-125.2,40.6,5.638307109237171e-05
43,-125.2,40.7,0.00012685195667698983
44,-125.2,40.8,6.0117283347731726e-05
45,-125.2,40.9,2.9512794446729747e-05
46,-125.2,41.0,2.3840654331400656e-05
47,-125.2,41.1,1.630137436341186e-05
48,-125.2,41.2,1.0784137779492299e-05
49,-125.2,41.3,7.095341850121247e-06
50,-125.2,41.4,4.327154611172554e-06
51,-125.2,41.5,3.0048500575583605e-06
52,-125.2,41.6,2.1088516603161777e-06
53,-125.2,41.7,1.5606258200209575e-06
54,-125.2,41.8,1.3129515046688642e-06
55,-125.2,41.9,1.1386584862837238e-06
56,-125.2,42.0,1.0922308289366591e-06
57,-125.2,42.1,9.603153646981165e-07
58,-125.2,42.2,7.508369467727211e-07
59,-125.2,42.3,5.768744320078705e-07
60,-125.2,42.4,4.2717263143011544e-07
61,-125.2,42.5,3.418948874200742e-07
62,-125.2,42.6,2.7943171374611233e-07
63,-125.2,42.7,2.3348343947656803e-07
64,-125.2,42.8,1.9664238690521913e-07
65,-125.2,42.9,1.733769198786911e-07
66,-125.1,39.7,2.8680563434267777e-07
67,-125.1,39.8,4.798645580988403e-07
68,-125.1,39.9,9.922224778672873e-07
69,-125.1,40.0,2.942111874925997e-06
70,-125.1,40.1,9.163227716424776e-06
71,-125.1,40.2,4.1284763695131995e-05
72,-125.1,40.3,0.00019312877772182768
73,-125.1,40.4,0.00019214755844746735
74,-125.1,40.5,7.319675551539792e-05
75,-125.1,40.6,5.061936666105163e-05
76,-125.1,40.7,4.634004998601234e-05
77,-125.1,40.8,3.5624995112532066e-05
78,-125.1,40.9,2.224512359377457e-05
79,-125.1,41.0,1.7981045746656005e-05
80,-125.1,41.1,1.1794960869801832e-05
81,-125.1,41.2,7.899797704647736e-06
82,-125.1,41.3,5.802987960176199e-06
83,-125.1,41.4,3.826872429987638e-06
84,-125.1,41.5,2.5964791909628437e-06
85,-125.1,41.6,1.8672735540191176e-06
86,-125.1,41.7,1.413963688867801e-06
87,-125.1,41.8,1.1736392890347828e-06
88,-125.1,41.9,1.0058418922554646e-06
89,-125.1,42.0,8.737859752260035e-07
90,-125.1,42.1,7.59213254907773e-07
91,-125.1,42.2,6.134565715870113e-07
92,-125.1,42.3,5.126258456380047e-07
93,-125.1,42.4,3.9665136907065026e-07
94,-125.1,42.5,3.225318927514306e-07
95,-125.1,42.6,2.680551852877172e-07
96,-125.1,42.7,2.239266854137409e-07
97,-125.1,42.8,1.950536063811263e-07
98,-125.1,42.9,1.9929292968982354e-07
99,-125.0,39.5,1.6097290574162382e-07
100,-125.0,39.6,2.0417322352145183e-07
101,-125.0,39.7,2.8914257079671285e-07
102,-125.0,39.8,4.987051742332917e-07
103,-125.0,39.9,1.0603954154320906e-06
104,-125.0,40.0,3.088144574283304e-06
