,longitudes,latitudes,spatial_counts
0,-125.4,40.1,9.935650180199998e-05
1,-125.4,40.2,0.00012636443359700003
2,-125.4,40.3,0.00014760139800899997
3,-125.4,40.4,0.00015903062947000002
4,-125.4,40.5,0.00015898616779399995
5,-125.4,40.6,0.00014859221832399998
6,-125.4,40.7,0.000131003037292
7,-125.4,40.8,0.000110021658696
8,-125.4,40.9,8.888429594599999e-05
9,-125.4,41.0,6.968863454000001e-05
10,-125.3,40.0,7.8466283849e-05
11,-125.3,40.1,0.000108593354583
12,-125.3,40.2,0.000137628612307
13,-125.3,40.3,0.00016020953628300002
14,-125.3,40.4,0.00017205034599500002
15,-125.3,40.5,0.00017148323012100003
16,-125.3,40.6,0.00015985181863800002
17,-125.3,40.7,0.00014063071203000002
18,-125.3,40.8,0.000117907945323
19,-125.3,40.9,9.509600563499999e-05
20,-125.3,41.0,7.4366004475e-05
21,-125.3,41.1,5.675133899499999e-05
22,-125.3,41.2,4.255143151e-05
23,-125.3,41.3,3.16916913996e-05
24,-125.3,41.4,2.3896420839200002e-05
25,-125.3,41.5,1.8718093468200003e-05
26,-125.3,41.6,1.55362439439e-05
27,-125.3,41.7,1.3615409449999997e-05
28,-125.3,41.8,1.2239668757500001e-05
29,-125.3,41.9,1.08723397666e-05
30,-125.3,42.0,9.259692717699998e-06
31,-125.3,42.1,7.423806653300001e-06
32,-125.3,42.2,5.555592883e-06
33,-125.3,42.3,3.8746750646000006e-06
34,-125.2,39.8,3.40717674326e-05
35,-125.2,39.9,5.613855218699999e-05
36,-125.2,40.0,8.4547151933e-05
37,-125.2,40.1,0.000116430663305
38,-125.2,40.2,0.00014684970107399996
39,-125.2,40.3,0.00017013080563300004
40,-125.2,40.4,0.00018184547491800003
41,-125.2,40.5,0.00018041094897900003
42,-125.2,40.6,0.000167429104141
43,-125.2,40.7,0.000146684503769
44,-125.2,40.8,0.00012250681833099998
45,-125.2,40.9,9.8427650212e-05
46,-125.2,41.0,7.6633373203e-05
47,-125.2,41.1,5.8123385277000006e-05
48,-125.2,41.2,4.316164283000001e-05
49,-125.2,41.3,3.16546932505e-05
50,-125.2,41.4,2.3320374007299998e-05
51,-125.2,41.5,1.7708744492600002e-05
52,-125.2,41.6,1.42000091683e-05
53,-125.2,41.7,1.20660665121e-05
54,-125.2,41.8,1.06033604979e-05
55,-125.2,41.9,9.2815834784e-06
56,-125.2,42.0,7.834071201799998e-06
57,-125.2,42.1,6.246888255899999e-06
58,-125.2,42.2,4.6617835771e-06
59,-125.2,42.3,3.2524971265800005e-06
60,-125.2,42.4,2.1354338160999996e-06
61,-125.2,42.5,1.34034227735e-06
62,-125.2,42.6,8.277068788500001e-07
63,-125.2,42.7,5.2398273741e-07
64,-125.2,42.8,3.5268447628800003e-07
65,-125.2,42.9,2.52978656587e-07
66,-125.1,39.7,2.0457068562299996e-05
67,-125.1,39.8,3.655245083449999e-05
68,-125.1,39.9,5.9827280186e-05
69,-125.1,40.0,8.954443765000003e-05
70,-125.1,40.1,0.00012257953289699999
71,-125.1,40.2,0.00015370530308300002
72,-125.1,40.3,0.00017704150110499998
73,-125.1,40.4,0.000188127477119
74,-125.1,40.5,0.000185538902818
75,-125.1,40.6,0.00017115929450999998
76,-125.1,40.7,0.000149057071012
77,-125.1,40.8,0.000123753907588
78,-125.1,40.9,9.884620627200002e-05
79,-125.1,41.0,7.6485205703e-05
80,-125.1,41.1,5.7589970213000015e-05
81,-125.1,41.2,4.2344743977e-05
82,-125.1,41.3,3.06001323543e-05
83,-125.1,41.4,2.2045183447000002e-05
84,-125.1,41.5,1.6224226394499995e-05
85,-125.1,41.6,1.25318659132e-05
86,-125.1,41.7,1.02705839739e-05
87,-125.1,41.8,8.7731776944e-06
88,-125.1,41.9,7.5339510474000005e-06
89,-125.1,42.0,6.2836009585e-06
90,-125.1,42.1,4.9758657416e-06
91,-125.1,42.2,3.7030321894099997e-06
92,-125.1,42.3,2.59151956475e-06
93,-125.1,42.4,1.72660249165e-06
94,-125.1,42.5,1.1260053572799998e-06
95,-125.1,42.6,7.517858326200001e-07
96,-125.1,42.7,5.380776952199998e-07
97,-125.1,42.8,4.1733812304e-07
98,-125.1,42.9,3.3756268539799994e-07
99,-125.0,39.5,5.5819088717e-06
100,-125.0,39.6,1.1339183269299999e-05
101,-125.0,39.7,2.17572381621e-05
102,-125.0,39.8,3.8556835026999994e-05
103,-125.0,39.9,6.2650662719e-05
104,-125.0,40.0,9.3139454531e-05
105,-125.0,40.1,0.000126678411482
106,-125.0,40.2,0.00015783883732
107,-125.0,40.3,0.000180648426906
108,-125.0,40.4,0.00019071636288999999
109,-125.0,40.5,0.000186829774141
110,-125.0,40.6,0.000171142568799
111,-125.0,40.7,0.00014795580859100003
112,-125.0,40.8,0.00012191919667399999
