,longitudes,latitudes,spatial_counts
0,-125.4,40.1,9.9328049987e-05
1,-125.4,40.2,0.000336036303289
2,-125.4,40.3,0.00046443701884
3,-125.4,40.4,0.00043332307477000003
4,-125.4,40.5,0.00021810005311700002
5,-125.4,40.6,0.0005853195762499999
6,-125.4,40.7,0.000352825071641
7,-125.4,40.8,0.000143654812331
8,-125.4,40.9,8.8880173713e-05
9,-125.4,41.0,4.4765317536e-05
10,-125.3,40.0,3.9270960436e-05
11,-125.3,40.1,0.000255211331551
12,-125.3,40.2,0.0009740200787800001
13,-125.3,40.3,0.00064463321509
14,-125.3,40.4,0.00044512678057999995
15,-125.3,40.5,0.00021536550732499998
16,-125.3,40.6,0.00047824221452999997
17,-125.3,40.7,0.000294685304447
18,-125.3,40.8,0.00022149697841100001
19,-125.3,40.9,0.00018129022453500002
20,-125.3,41.0,7.8638070867e-05
21,-125.3,41.1,2.78817112328e-05
22,-125.3,41.2,1.412509614e-05
23,-125.3,41.3,8.160018496200002e-06
24,-125.3,41.4,5.8261017153e-06
25,-125.3,41.5,6.2937158665e-06
26,-125.3,41.6,8.9985404799e-06
27,-125.3,41.7,1.3442613246600003e-05
28,-125.3,41.8,1.8096843132699997e-05
29,-125.3,41.9,2.04706982533e-05
30,-125.3,42.0,1.9035058729100003e-05
31,-125.3,42.1,1.4610313895599999e-05
32,-125.3,42.2,9.3932845308e-06
33,-125.3,42.3,5.16877352e-06
34,-125.2,39.8,1.18709314531e-06
35,-125.2,39.9,7.8631377404e-06
36,-125.2,40.0,4.0203914529e-05
37,-125.2,40.1,0.00030435085182499997
38,-125.2,40.2,0.0008877289827099999
39,-125.2,40.3,0.000538628764
40,-125.2,40.4,0.00037848855116
41,-125.2,40.5,0.00019066064300199997
42,-125.2,40.6,0.000217472847078
43,-125.2,40.7,0.00022549398588900003
44,-125.2,40.8,0.000315094612843
45,-125.2,40.9,0.00031003874719200006
46,-125.2,41.0,0.000116338997231
47,-125.2,41.1,3.25411600658e-05
48,-125.2,41.2,1.54063022525e-05
49,-125.2,41.3,8.4999451905e-06
50,-125.2,41.4,5.595387082e-06
51,-125.2,41.5,5.4994634557000004e-06
52,-125.2,41.6,7.3658358621999994e-06
53,-125.2,41.7,1.0618834057400001e-05
54,-125.2,41.8,1.40954107001e-05
55,-125.2,41.9,1.59839049747e-05
56,-125.2,42.0,1.5080498907399998e-05
57,-125.2,42.1,1.1828206013699997e-05
58,-125.2,42.2,7.7990096498e-06
59,-125.2,42.3,4.421015138699999e-06
60,-125.2,42.4,2.2614332863399998e-06
61,-125.2,42.5,1.14236167573e-06
62,-125.2,42.6,6.3282301313e-07
63,-125.2,42.7,4.0170071453999997e-07
64,-125.2,42.8,2.85088713893e-07
65,-125.2,42.9,2.1927347165499999e-07
66,-125.1,39.7,6.858377882300001e-07
67,-125.1,39.8,1.05033159523e-06
68,-125.1,39.9,5.621350734299999e-06
69,-125.1,40.0,2.67691092133e-05
70,-125.1,40.1,0.00015270299283200002
71,-125.1,40.2,0.00040553957416999996
72,-125.1,40.3,0.0003070698919069999
73,-125.1,40.4,0.00031426840643100005
74,-125.1,40.5,0.00021165850163299996
75,-125.1,40.6,0.000227201918268
76,-125.1,40.7,0.00034021661540799996
77,-125.1,40.8,0.000263936472103
78,-125.1,40.9,0.00022467933252800002
79,-125.1,41.0,8.961588170499999e-05
80,-125.1,41.1,3.00960369482e-05
81,-125.1,41.2,1.5096182866100001e-05
82,-125.1,41.3,8.229723855200001e-06
83,-125.1,41.4,5.1363204309000005e-06
84,-125.1,41.5,4.622667043999999e-06
85,-125.1,41.6,5.7275064464e-06
86,-125.1,41.7,7.857066008400002e-06
87,-125.1,41.8,1.01747944245e-05
88,-125.1,41.9,1.1484762181699999e-05
89,-125.1,42.0,1.09480910439e-05
90,-125.1,42.1,8.762288706899999e-06
91,-125.1,42.2,5.9403769461e-06
92,-125.1,42.3,3.4995556028899996e-06
93,-125.1,42.4,1.89304351521e-06
94,-125.1,42.5,1.0283551293999998e-06
95,-125.1,42.6,6.106540738200001e-07
96,-125.1,42.7,4.0584406897999994e-07
