,longitudes,latitudes,spatial_counts
0,-125.4,40.1,9.768220263087545e-11
1,-125.4,40.2,2.8238660117473162e-06
2,-125.4,40.3,0.00022568719988049307
3,-125.4,40.4,0.00030722653013417334
4,-125.4,40.5,0.00012634766977321688
5,-125.4,40.6,0.00026010967304130846
6,-125.4,40.7,0.00020401655166557122
7,-125.4,40.8,4.800385418909098e-05
8,-125.4,40.9,2.3654136282327895e-05
9,-125.4,41.0,5.804291519086561e-08
10,-125.3,40.0,1.7660556578599978e-24
11,-125.3,40.1,5.5236069637297704e-14
12,-125.3,40.2,3.1645484285240697e-06
13,-125.3,40.3,0.00029316896214624317
14,-125.3,40.4,0.0004118313226920033
15,-125.3,40.5,0.00010904494220584544
16,-125.3,40.6,0.0002144511622187832
17,-125.3,40.7,0.00036711164129628847
18,-125.3,40.8,0.00013682627610678316
19,-125.3,40.9,7.617475911019184e-05
20,-125.3,41.0,1.2369787436938382e-06
21,-125.3,41.1,3.3389162378959997e-12
22,-125.3,41.2,6.051546739103595e-22
23,-125.3,41.3,4.438485307995468e-36
24,-125.3,41.4,1.1992020824094153e-51
25,-125.3,41.5,2.242715313560536e-59
26,-125.3,41.6,4.650186838648742e-68
27,-125.3,41.7,1.569876772107453e-39
28,-125.3,41.8,4.0823038699322957e-22
29,-125.3,41.9,7.97456633640822e-16
30,-125.3,42.0,6.821600038910024e-15
31,-125.3,42.1,1.453318039293596e-17
32,-125.3,42.2,1.46619848891628e-32
33,-125.3,42.3,6.557821758130978e-60
34,-125.2,39.8,4.40494513346541e-36
35,-125.2,39.9,3.7989580130555234e-28
36,-125.2,40.0,4.622750056255305e-25
37,-125.2,40.1,1.5309249404216542e-16
38,-125.2,40.2,5.116174904335471e-07
39,-125.2,40.3,0.00026899363941140336
40,-125.2,40.4,0.0005399935069469347
41,-125.2,40.5,3.1040383181192127e-05
42,-125.2,40.6,7.65814631135245e-05
43,-125.2,40.7,0.00021523683711321655
44,-125.2,40.8,0.0005790415833635106
45,-125.2,40.9,0.00014471251354522936
46,-125.2,41.0,1.2113222695704974e-06
47,-125.2,41.1,1.0746739492130625e-14
48,-125.2,41.2,3.080654340416474e-26
49,-125.2,41.3,1.8076174110647984e-37
50,-125.2,41.4,2.1051555132962423e-44
51,-125.2,41.5,9.281584469041323e-54
52,-125.2,41.6,1.6960473341159046e-65
53,-125.2,41.7,2.8688690856772337e-37
54,-125.2,41.8,4.2028583695381107e-19
55,-125.2,41.9,4.619212280660033e-12
56,-125.2,42.0,2.1561769630998676e-11
57,-125.2,42.1,4.4354227938772874e-14
58,-125.2,42.2,4.474685272918668e-29
59,-125.2,42.3,2.0013576376153558e-56
60,-125.2,42.4,3.968456719778796e-96
61,-125.2,42.5,3.4886173035449564e-148
62,-125.2,42.6,1.3596269046164195e-212
63,-125.2,42.7,2.3492049447034813e-289
64,-125.2,42.8,0.0
65,-125.2,42.9,0.0
66,-125.1,39.7,3.279930898998342e-40
67,-125.1,39.8,3.468552043857402e-33
68,-125.1,39.9,9.78393295471128e-24
69,-125.1,40.0,5.805887115394951e-19
70,-125.1,40.1,3.178806622493096e-14
71,-125.1,40.2,1.260505712253625e-08
72,-125.1,40.3,3.338477604628907e-05
73,-125.1,40.4,0.0006094564008146616
