,longitudes,latitudes,spatial_counts
0,-125.4,40.1,5.982527583627737e-05
1,-125.4,40.2,0.00016464538938134086
2,-125.4,40.3,0.0003122705839308016
3,-125.4,40.4,0.0004112485273443866
4,-125.4,40.5,0.00038158166495218953
5,-125.4,40.6,0.0002585269986334304
6,-125.4,40.7,0.00013918288268009602
7,-125.4,40.8,6.93623644867238e-05
8,-125.4,40.9,3.818814764481458e-05
9,-125.4,41.0,2.5656939274058918e-05
10,-125.3,40.0,2.300696905936547e-05
11,-125.3,40.1,8.797213897186715e-05
12,-125.3,40.2,0.00023301576756844402
13,-125.3,40.3,0.00043033876630937164
14,-125.3,40.4,0.0005587826153214612
15,-125.3,40.5,0.0005182829522198072
16,-125.3,40.6,0.0003577031407273145
17,-125.3,40.7,0.00020250921515384818
18,-125.3,40.8,0.00010986378282914836
19,-125.3,40.9,6.461279539530731e-05
20,-125.3,41.0,4.314339145446672e-05
21,-125.3,41.1,3.186251938888538e-05
22,-125.3,41.2,2.32108910881293e-05
23,-125.3,41.3,1.5063972556600234e-05
24,-125.3,41.4,8.203520113797545e-06
25,-125.3,41.5,3.513555549069301e-06
26,-125.3,41.6,1.1010211786508602e-06
27,-125.3,41.7,2.3850615748772725e-07
28,-125.3,41.8,3.450298772960729e-08
29,-125.3,41.9,3.2722278032480025e-09
30,-125.3,42.0,2.0153979105492133e-10
31,-125.3,42.1,8.02240453615944e-12
32,-125.3,42.2,2.058507611415145e-13
33,-125.3,42.3,3.3998966790735007e-15
34,-125.2,39.8,7.525037454880889e-07
35,-125.2,39.9,5.673783451081001e-06
36,-125.2,40.0,2.9389852520042315e-05
37,-125.2,40.1,0.00010541361061283474
38,-125.2,40.2,0.0002643356783362853
39,-125.2,40.3,0.0004681928419663256
40,-125.2,40.4,0.000592220676900995
41,-125.2,40.5,0.0005445370801632657
42,-125.2,40.6,0.0003810526621501807
43,-125.2,40.7,0.0002263916422169151
44,-125.2,40.8,0.00013263043110822622
45,-125.2,40.9,8.215085131542674e-05
46,-125.2,41.0,5.4989728403366146e-05
47,-125.2,41.1,4.128016260803238e-05
48,-125.2,41.2,3.243496226000587e-05
49,-125.2,41.3,2.3308136312326953e-05
50,-125.2,41.4,1.3762248386721433e-05
51,-125.2,41.5,6.153775095871576e-06
52,-125.2,41.6,1.956656055773563e-06
53,-125.2,41.7,4.238425364437934e-07
54,-125.2,41.8,6.096087419464283e-08
55,-125.2,41.9,5.7389800528882115e-09
56,-125.2,42.0,3.50897704837909e-10
57,-125.2,42.1,1.3875215943104552e-11
58,-125.2,42.2,3.5396281332241286e-13
59,-125.2,42.3,5.816900453884127e-15
60,-125.2,42.4,6.152050826056169e-17
61,-125.2,42.5,4.188192307739201e-19
62,-125.2,42.6,2.1028534594387093e-21
63,-125.2,42.7,1.3131905942673845e-22
64,-125.2,42.8,3.7339334329750513e-23
65,-125.2,42.9,7.081195312483421e-24
66,-125.1,39.7,1.0192512336113163e-07
67,-125.1,39.8,9.672703353778484e-07
68,-125.1,39.9,6.800259172162465e-06
69,-125.1,40.0,3.315956676697975e-05
70,-125.1,40.1,0.00011198737632396689
71,-125.1,40.2,0.00026463533279994054
72,-125.1,40.3,0.00044384449633518626
73,-125.1,40.4,0.0005369239858727981
74,-125.1,40.5,0.00047901161084044864
75,-125.1,40.6,0.0003318075739643953
76,-125.1,40.7,0.00020086307570025058
77,-125.1,40.8,0.00012235953887826707
78,-125.1,40.9,7.751207741669958e-05
79,-125.1,41.0,5.238258095696222e-05
80,-125.1,41.1,4.129289785951995e-05
81,-125.1,41.2,3.517694333502948e-05
82,-125.1,41.3,2.692386704493739e-05
83,-125.1,41.4,1.6364682944566033e-05
84,-125.1,41.5,7.3476691426551275e-06
85,-125.1,41.6,2.317816628248444e-06
86,-125.1,41.7,4.961329323425255e-07
87,-125.1,41.8,7.048916720497152e-08
88,-125.1,41.9,6.561343766697826e-09
89,-125.1,42.0,3.971737257841323e-10
90,-125.1,42.1,1.5568184846369868e-11
91,-125.1,42.2,3.941561481669154e-13
92,-125.1,42.3,6.435466779383374e-15
93,-125.1,42.4,6.777110880723897e-17
94,-125.1,42.5,5.557998480105252e-19
95,-125.1,42.6,7.223697491313107e-20
96,-125.1,42.7,3.2415838057966853e-20
97,-125.1,42.8,9.588481357428125e-21
98,-125.1,42.9,1.8188486550184935e-21
99,-125.0,39.5,2.0617179848580178e-08
100,-125.0,39.6,6.112007132796858e-08
101,-125.0,39.7,2.1537856820603945e-07
102,-125.0,39.8,1.314123266503869e-06
103,-125.0,39.9,8.199421954711816e-06
104,-125.0,40.0,3.7968214433088486e-05
105,-125.0,40.1,0.00012287852739204126
106,-125.0,40.2,0.0002766863023518946
107,-125.0,40.3,0.0004378417966049718
108,-125.0,40.4,0.0004958142642079893
109,-125.0,40.5,0.0004133228625412365
110,-125.0,40.6,0.00026887190566750107
111,-125.0,40.7,0.00015457865518841166
112,-125.0,40.8,9.073365580000345e-05
113,-125.0,40.9,5.616463491599394e-05
114,-125.0,41.0,3.8748780884529865e-05
115,-125.0,41.1,3.323661333116865e-05
116,-125.0,41.2,3.0348500483393954e-05
117,-125.0,41.3,2.3532344761997275e-05
118,-125.0,41.4,1.397260056308009e-05
119,-125.0,41.5,6.059420845720598e-06
120,-125.0,41.6,1.8501942951435287e-06
121,-125.0,41.7,3.8568274160219436e-07
122,-125.0,41.8,5.366527749810845e-08
123,-125.0,41.9,4.912803436623967e-09
124,-125.0,42.0,2.9335046948417193e-10
125,-125.0,42.1,1.1367670826059561e-11
126,-125.0,42.2,2.8502107294030275e-13
127,-125.0,42.3,4.623062202008862e-15
128,-125.0,42.4,6.251419868453913e-17
129,-125.0,42.5,1.6399581415125764e-17
130,-125.0,42.6,1.1569625263107396e-17
131,-125.0,42.7,5.337693235598059e-18
132,-125.0,42.8,1.5791386065682056e-18
133,-125.0,42.9,2.9954869833266495e-19
134,-124.9,39.3,4.974235697019335e-09
135,-124.9,39.4,3.0400128745389485e-08
136,-124.9,39.5,1.2050288315042374e-07
137,-124.9,39.6,3.224746686538277e-07
138,-124.9,39.7,7.318779451726576e-07
139,-124.9,39.8,2.5268068937431706e-06
140,-124.9,39.9,1.2814230344456948e-05
141,-124.9,40.0,5.60973296842954e-05
142,-124.9,40.1,0.0001765128226438743
143,-124.9,40.2,0.00038507633771833765
144,-124.9,40.3,0.0005806463869405312
145,-124.9,40.4,0.0006123278953881943
146,-124.9,40.5,0.0004646380013940052
147,-124.9,40.6,0.0002699908778501162
148,-124.9,40.7,0.00013648498079098424
149,-124.9,40.8,7.025087214960387e-05
150,-124.9,40.9,3.925284078456123e-05
151,-124.9,41.0,2.646454236007943e-05
152,-124.9,41.1,2.397776243818235e-05
153,-124.9,41.2,2.2332007272856168e-05
154,-124.9,41.3,1.6558626883281355e-05
155,-124.9,41.4,9.073326692911885e-06
156,-124.9,41.5,3.613567007139407e-06
157,-124.9,41.6,1.0274200435408103e-06
158,-124.9,41.7,2.0319037553778108e-07
159,-124.9,41.8,2.7243198341288836e-08
160,-124.9,41.9,2.4288267648965955e-09
161,-124.9,42.0,1.4219068318699226e-10
162,-124.9,42.1,5.425231048840363e-12
163,-124.9,42.2,1.346212342026622e-13
