,longitudes,latitudes,spatial_counts
0,-125.4,40.1,1.4538557465182984e-05
1,-125.4,40.2,9.548246955788553e-05
2,-125.4,40.3,0.0009187936186192617
3,-125.4,40.4,0.0021078206469280934
4,-125.4,40.5,0.00021258362416144073
5,-125.4,40.6,0.001266493976282158
6,-125.4,40.7,0.00033689096060128396
7,-125.4,40.8,7.044084056820161e-05
8,-125.4,40.9,9.494200304133853e-05
9,-125.4,41.0,0.00016430191525734002
10,-125.3,40.0,1.8916340039855796e-06
11,-125.3,40.1,6.503617104841487e-06
12,-125.3,40.2,3.585096425350128e-05
13,-125.3,40.3,0.00039994545359104577
14,-125.3,40.4,0.0013601748157689123
15,-125.3,40.5,8.593422234894514e-05
16,-125.3,40.6,0.00023780542407797538
17,-125.3,40.7,0.00010629180761799828
18,-125.3,40.8,4.8461861588771346e-05
19,-125.3,40.9,5.530777470553051e-05
20,-125.3,41.0,3.711205445419092e-05
21,-125.3,41.1,2.9185209531740814e-05
22,-125.3,41.2,2.1258362416144077e-05
23,-125.3,41.3,1.3421592119807356e-05
24,-125.3,41.4,8.899686884802364e-06
25,-125.3,41.5,5.99918169732429e-06
26,-125.3,41.6,4.738092382530283e-06
27,-125.3,41.7,3.729221117136866e-06
28,-125.3,41.8,3.8373144169054235e-06
29,-125.3,41.9,4.720077237632709e-06
30,-125.3,42.0,5.8370414731821555e-06
31,-125.3,42.1,4.828170306344616e-06
32,-125.3,42.2,3.3328788210164625e-06
33,-125.3,42.3,1.8736184282367308e-06
34,-125.2,39.8,6.467586482202844e-07
35,-125.2,39.9,9.980620236977195e-07
36,-125.2,40.0,1.7168829066634854e-06
37,-125.2,40.1,6.323461842890963e-06
38,-125.2,40.2,3.567080897843222e-05
39,-125.2,40.3,0.0005602839021578578
40,-125.2,40.4,0.0010809336704053576
41,-125.2,40.5,7.152177698060438e-05
42,-125.2,40.6,0.00010268869975393961
43,-125.2,40.7,0.00010449024970857406
44,-125.2,40.8,3.404940873707061e-05
45,-125.2,40.9,2.61225660478233e-05
46,-125.2,41.0,5.47673035362022e-05
47,-125.2,41.1,2.0537740454451456e-05
48,-125.2,41.2,2.6302715764809913e-05
49,-125.2,41.3,2.4861476292456306e-05
50,-125.2,41.4,1.7943499589735674e-05
51,-125.2,41.5,8.467313356674137e-06
52,-125.2,41.6,5.909103951701581e-06
53,-125.2,41.7,5.044357124757343e-06
54,-125.2,41.8,5.134434794775618e-06
55,-125.2,41.9,5.134434794775618e-06
56,-125.2,42.0,6.251399634015878e-06
57,-125.2,42.1,6.773850862553978e-06
58,-125.2,42.2,6.95400655128008e-06
59,-125.2,42.3,5.206496856028584e-06
60,-125.2,42.4,2.3780542407797533e-06
61,-125.2,42.5,1.0485056657555726e-06
62,-125.2,42.6,6.16132184073778e-07
63,-125.2,42.7,5.134434794775618e-07
64,-125.2,42.8,7.584551391652447e-07
65,-125.2,42.9,2.720349909307886e-06
66,-125.1,39.7,3.5310495765858563e-07
67,-125.1,39.8,5.674901739470559e-07
68,-125.1,39.9,9.205951556161021e-07
69,-125.1,40.0,2.197898377266669e-06
70,-125.1,40.1,6.269414947761879e-06
71,-125.1,40.2,2.0357582919341315e-05
72,-125.1,40.3,0.0005476730353620219
73,-125.1,40.4,0.0006629726425502717
74,-125.1,40.5,0.00011349803257025392
75,-125.1,40.6,9.512215722414257e-05
76,-125.1,40.7,0.00016592331910813974
77,-125.1,40.8,4.6119834830299416e-05
78,-125.1,40.9,2.2699605568434154e-05
79,-125.1,41.0,3.206769890597219e-05
80,-125.1,41.1,2.540194033081842e-05
81,-125.1,41.2,3.404940873707061e-05
82,-125.1,41.3,2.6302715764809913e-05
83,-125.1,41.4,1.8736184282367308e-05
84,-125.1,41.5,7.458442292602173e-06
85,-125.1,41.6,4.9362635924461066e-06
86,-125.1,41.7,4.287703397277741e-06
87,-125.1,41.8,4.413812363664241e-06
88,-125.1,41.9,5.0623729821676605e-06
89,-125.1,42.0,6.197353254238686e-06
90,-125.1,42.1,7.530504484274223e-06
91,-125.1,42.2,9.097858301678485e-06
92,-125.1,42.3,9.259997873520365e-06
93,-125.1,42.4,5.909103951701581e-06
94,-125.1,42.5,3.513034566382468e-06
95,-125.1,42.6,2.522178594586933e-06
96,-125.1,42.7,2.3780542407797533e-06
97,-125.1,42.8,2.9725675146178396e-06
98,-125.1,42.9,2.197898377266669e-06
99,-125.0,39.5,1.599781816963148e-07
100,-125.0,39.6,2.2339294672979433e-07
101,-125.0,39.7,3.3869256194192636e-07
102,-125.0,39.8,6.755835234009093e-07
103,-125.0,39.9,1.5115056358339267e-06
104,-125.0,40.0,2.936536432662265e-06
105,-125.0,40.1,8.791593332382167e-06
106,-125.0,40.2,3.927392457332711e-05
107,-125.0,40.3,0.0006197353254238686
108,-125.0,40.4,0.00021258362416144073
109,-125.0,40.5,0.00011962332395527506
110,-125.0,40.6,7.476457384397774e-05
111,-125.0,40.7,9.38610677125893e-05
112,-125.0,40.8,5.134434794775619e-05
113,-125.0,40.9,2.5582097375466516e-05
114,-125.0,41.0,2.3600385119141182e-05
115,-125.0,41.1,3.15272298751849e-05
116,-125.0,41.2,1.9997271776969485e-05
117,-125.0,41.3,1.2845095513014134e-05
118,-125.0,41.4,8.521360208391186e-06
119,-125.0,41.5,5.4947459919328736e-06
120,-125.0,41.6,4.035485508453849e-06
121,-125.0,41.7,3.531049576585856e-06
122,-125.0,41.8,3.6571587967196078e-06
123,-125.0,41.9,4.233656811801563e-06
124,-125.0,42.0,5.4947459919328736e-06
125,-125.0,42.1,6.449570980543811e-06
126,-125.0,42.2,8.935718412649143e-06
127,-125.0,42.3,1.172812985264446e-05
128,-125.0,42.4,7.674628484303579e-06
129,-125.0,42.5,5.152449937235512e-06
130,-125.0,42.6,4.107548038452332e-06
131,-125.0,42.7,3.3689096060128384e-06
132,-125.0,42.8,2.8104274224523295e-06
133,-125.0,42.9,1.4466495331073153e-06
134,-124.9,39.3,1.1367818724620463e-07
135,-124.9,39.4,1.3295484849132844e-07
136,-124.9,39.5,1.650225485061875e-07
137,-124.9,39.6,2.2339294672979433e-07
138,-124.9,39.7,4.233656811801563e-07
139,-124.9,39.8,8.611437875737538e-07
140,-124.9,39.9,2.107820646928093e-06
141,-124.9,40.0,3.963423383291678e-06
142,-124.9,40.1,1.3025251002136654e-05
143,-124.9,40.2,5.062372982167661e-05
144,-124.9,40.3,0.0002558209737546652
145,-124.9,40.4,0.00010449024970857406
146,-124.9,40.5,9.296029203984038e-05
147,-124.9,40.6,5.819025964707866e-05
148,-124.9,40.7,5.2605439453905864e-05
149,-124.9,40.8,3.3689096060128394e-05
150,-124.9,40.9,2.305991892862386e-05
151,-124.9,41.0,1.5169102033924732e-05
152,-124.9,41.1,1.8015560303919858e-05
153,-124.9,41.2,1.471871304432368e-05
154,-124.9,41.3,7.404395409871299e-06
155,-124.9,41.4,5.2605439453905876e-06
156,-124.9,41.5,3.8373144169054235e-06
157,-124.9,41.6,3.24280093961372e-06
158,-124.9,41.7,2.720349909307886e-06
159,-124.9,41.8,2.5762251936322083e-06
160,-124.9,41.9,3.1347074836047866e-06
161,-124.9,42.0,4.918247937296694e-06
162,-124.9,42.1,8.57540712845797e-06
163,-124.9,42.2,8.899686884802364e-06
164,-124.9,42.3,1.0070698621911708e-05
