,longitudes,latitudes,spatial_counts
0,-125.4,40.1,4.366078e-07
1,-125.4,40.2,7.2124e-07
2,-125.4,40.3,7.72873e-07
3,-125.4,40.4,6.806394999999999e-07
4,-125.4,40.5,6.025622999999999e-07
5,-125.4,40.6,4.959465e-07
6,-125.4,40.7,3.5253573999999996e-07
7,-125.4,40.8,2.3784111999999998e-07
8,-125.4,40.9,2.2842509999999997e-07
9,-125.4,41.0,3.5919920000000005e-07
10,-125.3,40.0,1.461301e-07
11,-125.3,40.1,4.0897440000000007e-07
12,-125.3,40.2,6.88585e-07
13,-125.3,40.3,7.59248e-07
14,-125.3,40.4,6.897397999999999e-07
15,-125.3,40.5,6.069121000000001e-07
16,-125.3,40.6,4.7556189999999996e-07
17,-125.3,40.7,3.2169025999999995e-07
18,-125.3,40.8,2.2057980000000002e-07
19,-125.3,40.9,2.3809329999999996e-07
20,-125.3,41.0,4.175417e-07
21,-125.3,41.1,5.694481e-07
22,-125.3,41.2,4.266040000000001e-07
23,-125.3,41.3,2.233719e-07
24,-125.3,41.4,1.795809e-07
25,-125.3,41.5,1.6469710000000003e-07
26,-125.3,41.6,1.1554102000000001e-07
27,-125.3,41.7,1.5239440999999999e-07
28,-125.3,41.8,2.6647573e-07
29,-125.3,41.9,5.3560009e-07
30,-125.3,42.0,5.767736200000002e-07
31,-125.3,42.1,2.6930331e-07
32,-125.3,42.2,1.6461709e-07
33,-125.3,42.3,2.6714328e-07
34,-125.2,39.8,1.1027649999999999e-08
35,-125.2,39.9,6.082769999999999e-08
36,-125.2,40.0,1.454272e-07
37,-125.2,40.1,3.2635090000000004e-07
38,-125.2,40.2,5.661050000000001e-07
39,-125.2,40.3,6.61659e-07
40,-125.2,40.4,6.27836e-07
41,-125.2,40.5,5.567121999999999e-07
42,-125.2,40.6,4.252703e-07
43,-125.2,40.7,2.808295e-07
44,-125.2,40.8,2.058321e-07
45,-125.2,40.9,2.51589e-07
46,-125.2,41.0,3.8826620000000005e-07
47,-125.2,41.1,4.809219e-07
48,-125.2,41.2,3.813594e-07
49,-125.2,41.3,2.974599e-07
50,-125.2,41.4,3.374840000000001e-07
51,-125.2,41.5,3.185856e-07
52,-125.2,41.6,1.6253465e-07
53,-125.2,41.7,6.931416999999999e-08
54,-125.2,41.8,9.889887999999999e-08
55,-125.2,41.9,2.3694e-07
56,-125.2,42.0,2.6038306e-07
57,-125.2,42.1,1.1772511999999999e-07
58,-125.2,42.2,8.520833000000001e-08
59,-125.2,42.3,1.5783860000000002e-07
60,-125.2,42.4,1.05888007e-07
61,-125.2,42.5,2.2093557000000004e-08
62,-125.2,42.6,6.324827600000001e-09
63,-125.2,42.7,7.572091600000001e-09
64,-125.2,42.8,5.100584589999999e-09
65,-125.2,42.9,1.62313258e-09
66,-125.1,39.7,1.199619e-09
67,-125.1,39.8,2.265929e-08
68,-125.1,39.9,1.2193739999999998e-07
69,-125.1,40.0,1.8599810000000001e-07
70,-125.1,40.1,2.789412e-07
71,-125.1,40.2,5.00975e-07
72,-125.1,40.3,6.089710000000001e-07
73,-125.1,40.4,5.663590000000001e-07
74,-125.1,40.5,4.913279000000002e-07
75,-125.1,40.6,3.7124286000000003e-07
76,-125.1,40.7,2.4865880000000005e-07
77,-125.1,40.8,2.12051e-07
78,-125.1,40.9,3.08021e-07
79,-125.1,41.0,3.6707900000000005e-07
80,-125.1,41.1,3.4513e-07
81,-125.1,41.2,3.113805e-07
82,-125.1,41.3,3.881044e-07
83,-125.1,41.4,5.125709000000001e-07
84,-125.1,41.5,4.469671e-07
85,-125.1,41.6,2.0415564e-07
86,-125.1,41.7,5.290849e-08
87,-125.1,41.8,4.9096521e-08
88,-125.1,41.9,1.5130190600000002e-07
89,-125.1,42.0,2.1652714299999998e-07
90,-125.1,42.1,1.3858553199999996e-07
91,-125.1,42.2,2.47041277e-07
92,-125.1,42.3,4.6239697000000003e-07
93,-125.1,42.4,1.80257887e-07
94,-125.1,42.5,2.0929216399999998e-08
95,-125.1,42.6,2.2654664999999993e-09
96,-125.1,42.7,9.899240100000001e-10
97,-125.1,42.8,6.85797404e-10
98,-125.1,42.9,1.98209389e-10
99,-125.0,39.5,8.036574e-09
100,-125.0,39.6,1.5794200000000002e-10
101,-125.0,39.7,1.3094239999999998e-09
102,-125.0,39.8,2.310006e-08
103,-125.0,39.9,1.2333111e-07
104,-125.0,40.0,1.8932809999999998e-07
105,-125.0,40.1,2.849742e-07
106,-125.0,40.2,5.10216e-07
107,-125.0,40.3,6.14633e-07
108,-125.0,40.4,5.511999999999999e-07
109,-125.0,40.5,4.580828000000001e-07
110,-125.0,40.6,3.4652385e-07
111,-125.0,40.7,2.4234239999999996e-07
112,-125.0,40.8,2.2882099999999998e-07
113,-125.0,40.9,3.5330900000000006e-07
114,-125.0,41.0,3.9790100000000006e-07
115,-125.0,41.1,4.5704100000000005e-07
116,-125.0,41.2,4.60425e-07
117,-125.0,41.3,4.426031e-07
118,-125.0,41.4,5.469617e-07
119,-125.0,41.5,4.101729e-07
120,-125.0,41.6,1.7105989999999998e-07
121,-125.0,41.7,4.0238990000000004e-08
122,-125.0,41.8,2.3901654000000003e-08
123,-125.0,41.9,7.3530815e-08
124,-125.0,42.0,1.3717479000000001e-07
125,-125.0,42.1,1.5524565599999996e-07
