,longitudes,latitudes,spatial_counts
0,-125.4,40.1,6.5252815e-06
1,-125.4,40.2,1.6623534299999995e-05
2,-125.4,40.3,1.6512868700000003e-05
3,-125.4,40.4,2.1936937400000004e-05
4,-125.4,40.5,1.6237426799999995e-05
5,-125.4,40.6,2.2595375999999998e-05
6,-125.4,40.7,1.88747495e-05
7,-125.4,40.8,8.5804874e-06
8,-125.4,40.9,8.9304845e-06
9,-125.4,41.0,1.85158534e-05
10,-125.3,40.0,3.976301700000001e-06
11,-125.3,40.1,7.335164e-06
12,-125.3,40.2,2.4636471000000004e-05
13,-125.3,40.3,2.64866782e-05
14,-125.3,40.4,3.484550120000001e-05
15,-125.3,40.5,2.23927106e-05
16,-125.3,40.6,1.73981955e-05
17,-125.3,40.7,1.95882886e-05
18,-125.3,40.8,1.2378568699999999e-05
19,-125.3,40.9,9.542813100000002e-06
20,-125.3,41.0,1.1503686400000001e-05
21,-125.3,41.1,1.3515670200000001e-05
22,-125.3,41.2,4.5176308000000005e-06
23,-125.3,41.3,3.0492646600000003e-06
24,-125.3,41.4,2.70678963e-06
25,-125.3,41.5,2.7734224e-06
26,-125.3,41.6,3.3114625399999996e-06
27,-125.3,41.7,3.84342501e-06
28,-125.3,41.8,3.5942603600000002e-06
29,-125.3,41.9,2.2337933300000003e-06
30,-125.3,42.0,1.55967652e-06
31,-125.3,42.1,1.2840231200000001e-06
32,-125.3,42.2,1.1031690600000003e-06
33,-125.3,42.3,9.4020364e-07
34,-125.2,39.8,2.1839604800000004e-06
35,-125.2,39.9,2.8566328899999996e-06
36,-125.2,40.0,4.0019682e-06
37,-125.2,40.1,6.4680597e-06
38,-125.2,40.2,1.22525694e-05
39,-125.2,40.3,2.16918278e-05
40,-125.2,40.4,4.1329672e-05
41,-125.2,40.5,2.7101007099999994e-05
42,-125.2,40.6,1.1613574299999999e-05
43,-125.2,40.7,1.7512638599999996e-05
44,-125.2,40.8,3.37140659e-05
45,-125.2,40.9,1.2494122800000001e-05
46,-125.2,41.0,1.3729335500000001e-05
47,-125.2,41.1,7.069721699999999e-06
48,-125.2,41.2,4.0533012e-06
49,-125.2,41.3,3.0429535800000005e-06
50,-125.2,41.4,3.22062999e-06
51,-125.2,41.5,3.5600716799999998e-06
52,-125.2,41.6,2.5783127999999994e-06
53,-125.2,41.7,2.3761810799999998e-06
54,-125.2,41.8,2.1266053499999994e-06
55,-125.2,41.9,1.68769774e-06
56,-125.2,42.0,1.3375671199999999e-06
57,-125.2,42.1,1.1208244499999999e-06
58,-125.2,42.2,9.6809231e-07
59,-125.2,42.3,8.4215997e-07
60,-125.2,42.4,7.381497e-07
61,-125.2,42.5,6.573836700000001e-07
62,-125.2,42.6,5.950174900000001e-07
63,-125.2,42.7,5.395845999999999e-07
64,-125.2,42.8,4.823739499999999e-07
65,-125.2,42.9,4.2596328e-07
66,-125.1,39.7,1.7809413599999999e-06
67,-125.1,39.8,2.23227116e-06
68,-125.1,39.9,2.91045463e-06
69,-125.1,40.0,4.0096348e-06
70,-125.1,40.1,5.9669527e-06
71,-125.1,40.2,1.0215918699999999e-05
72,-125.1,40.3,1.96446213e-05
73,-125.1,40.4,2.26625975e-05
74,-125.1,40.5,1.6238648899999996e-05
75,-125.1,40.6,1.01666971e-05
76,-125.1,40.7,1.18941278e-05
77,-125.1,40.8,1.61026495e-05
78,-125.1,40.9,8.768597000000001e-06
79,-125.1,41.0,8.0889357e-06
80,-125.1,41.1,7.630717200000001e-06
81,-125.1,41.2,3.871080400000001e-06
82,-125.1,41.3,3.01266492e-06
83,-125.1,41.4,4.4395203e-06
84,-125.1,41.5,8.4708217e-06
85,-125.1,41.6,2.3877921300000003e-06
86,-125.1,41.7,1.8847072500000002e-06
87,-125.1,41.8,1.64524243e-06
88,-125.1,41.9,1.39927776e-06
89,-125.1,42.0,1.18012392e-06
90,-125.1,42.1,1.01225973e-06
91,-125.1,42.2,8.8244854e-07
92,-125.1,42.3,7.760271699999998e-07
93,-125.1,42.4,6.875167699999999e-07
94,-125.1,42.5,6.1505067e-07
95,-125.1,42.6,5.549289300000001e-07
96,-125.1,42.7,5.021849e-07
