,longitudes,latitudes,spatial_counts
0,-125.4,40.1,9.2803708e-09
1,-125.4,40.2,2.7531225300000007e-07
2,-125.4,40.3,2.55501303e-06
3,-125.4,40.4,3.41350618e-06
4,-125.4,40.5,3.1779636899999996e-07
5,-125.4,40.6,2.3519600899999995e-05
6,-125.4,40.7,4.9690716e-07
7,-125.4,40.8,2.3619700900000004e-07
8,-125.4,40.9,3.9766351e-08
9,-125.4,41.0,3.7126705299999997e-06
10,-125.3,40.0,9.280037400000001e-09
11,-125.3,40.1,9.318370500000002e-09
12,-125.3,40.2,3.24785199e-07
13,-125.3,40.3,4.2438552e-06
14,-125.3,40.4,5.1818477e-06
15,-125.3,40.5,3.78691435e-07
16,-125.3,40.6,8.7529305e-07
17,-125.3,40.7,4.2106332e-06
18,-125.3,40.8,7.561162199999999e-06
19,-125.3,40.9,7.8823818e-07
20,-125.3,41.0,1.06428043e-06
21,-125.3,41.1,2.40129198e-06
22,-125.3,41.2,2.5921127200000002e-08
23,-125.3,41.3,3.4623613499999996e-07
24,-125.3,41.4,0.0
25,-125.3,41.5,1.7692970799999996e-08
26,-125.3,41.6,9.2954817e-17
27,-125.3,41.7,7.797826900000001e-10
28,-125.3,41.8,7.792827000000001e-10
29,-125.3,41.9,3.7886366e-13
30,-125.3,42.0,0.0
31,-125.3,42.1,0.0
32,-125.3,42.2,0.0
33,-125.3,42.3,6.3115055e-09
34,-125.2,39.8,0.0
35,-125.2,39.9,0.0
36,-125.2,40.0,0.0
37,-125.2,40.1,1.69746433e-09
38,-125.2,40.2,2.1563273100000002e-08
39,-125.2,40.3,5.4368456e-07
40,-125.2,40.4,2.9348211600000004e-06
41,-125.2,40.5,2.30873718e-06
42,-125.2,40.6,5.655066099999999e-07
43,-125.2,40.7,2.48028027e-05
44,-125.2,40.8,3.3972618600000006e-05
45,-125.2,40.9,3.9027466999999995e-06
46,-125.2,41.0,3.56601614e-07
47,-125.2,41.1,1.1240799799999999e-07
48,-125.2,41.2,9.5009246e-09
49,-125.2,41.3,9.791922099999998e-09
50,-125.2,41.4,1.96593996e-13
51,-125.2,41.5,1.36084477e-11
52,-125.2,41.6,0.0
53,-125.2,41.7,0.0
54,-125.2,41.8,0.0
55,-125.2,41.9,7.546829e-09
56,-125.2,42.0,7.546829e-09
57,-125.2,42.1,0.0
58,-125.2,42.2,0.0
59,-125.2,42.3,0.0
60,-125.2,42.4,0.0
61,-125.2,42.5,0.0
62,-125.2,42.6,0.0
63,-125.2,42.7,0.0
64,-125.2,42.8,0.0
65,-125.2,42.9,0.0
