,longitudes,latitudes,spatial_counts
0,-125.4,40.1,6.565278700399999e-07
1,-125.4,40.2,1.8432963985e-06
2,-125.4,40.3,4.8195926853999995e-06
3,-125.4,40.4,6.2892733268e-06
4,-125.4,40.5,1.8232549292999999e-06
5,-125.4,40.6,3.2400726841999993e-05
6,-125.4,40.7,2.1459755679999998e-06
7,-125.4,40.8,1.0199876525e-06
8,-125.4,40.9,7.860611802999999e-07
9,-125.4,41.0,6.3032928138e-06
10,-125.3,40.0,3.568098110199999e-07
11,-125.3,40.1,7.038354496499998e-07
12,-125.3,40.2,2.4714806707000003e-06
13,-125.3,40.3,7.727751790400001e-06
14,-125.3,40.4,9.5211740164e-06
15,-125.3,40.5,2.3473388687e-06
16,-125.3,40.6,2.580775801e-06
17,-125.3,40.7,7.012856043199999e-06
18,-125.3,40.8,1.08089997264e-05
19,-125.3,40.9,1.8070294972000003e-06
20,-125.3,41.0,2.3788466598e-06
21,-125.3,41.1,4.3225870684e-06
22,-125.3,41.2,5.296084829599999e-07
23,-125.3,41.3,7.590027910199998e-07
24,-125.3,41.4,2.6672121336e-07
25,-125.3,41.5,2.885661148399999e-07
26,-125.3,41.6,2.846417110008412e-07
27,-125.3,41.7,3.38698082217e-07
28,-125.3,41.8,3.663901054299999e-07
29,-125.3,41.9,3.75073648282758e-07
30,-125.3,42.0,3.4300615744000003e-07
31,-125.3,42.1,2.0017098864e-07
32,-125.3,42.2,1.4527500832e-07
33,-125.3,42.3,1.8275693123e-07
34,-125.2,39.8,1.6165621456e-07
35,-125.2,39.9,2.3000864807999998e-07
36,-125.2,40.0,3.463125904e-07
37,-125.2,40.1,5.98447362029e-07
38,-125.2,40.2,1.1366592518300003e-06
39,-125.2,40.3,2.5332651295999996e-06
40,-125.2,40.4,7.042138292e-06
41,-125.2,40.5,5.175315725200001e-06
42,-125.2,40.6,1.7414440626000002e-06
43,-125.2,40.7,3.3616885289200005e-05
44,-125.2,40.8,4.66741497648e-05
45,-125.2,40.9,6.0737831516000015e-06
46,-125.2,41.0,1.6074007341999997e-06
47,-125.2,41.1,8.475191198e-07
48,-125.2,41.2,4.5673264837999996e-07
49,-125.2,41.3,3.5080611649000003e-07
50,-125.2,41.4,3.6687921485219484e-07
51,-125.2,41.5,3.837770919420099e-07
52,-125.2,41.6,2.506523816e-07
53,-125.2,41.7,1.9881070575999998e-07
54,-125.2,41.8,1.926751372e-07
55,-125.2,41.9,2.2610111497999998e-07
56,-125.2,42.0,2.1026893434e-07
57,-125.2,42.1,1.277894084e-07
58,-125.2,42.2,1.0378597832e-07
59,-125.2,42.3,1.2377095784e-07
60,-125.2,42.4,9.55019812e-08
61,-125.2,42.5,5.616904703999999e-08
62,-125.2,42.6,4.537119032e-08
63,-125.2,42.7,4.187892784e-08
64,-125.2,42.8,3.6771158236e-08
65,-125.2,42.9,3.1318609192e-08
66,-125.1,39.7,1.2870762552e-07
67,-125.1,39.8,1.6978723952000002e-07
68,-125.1,39.9,2.6584741141e-07
69,-125.1,40.0,3.7061266365e-07
70,-125.1,40.1,5.46066532357e-07
71,-125.1,40.2,1.5214803783999998e-06
72,-125.1,40.3,3.1121840585999996e-06
73,-125.1,40.4,3.437767026e-06
74,-125.1,40.5,2.6406281967999997e-06
75,-125.1,40.6,1.3917708231999998e-06
76,-125.1,40.7,1.12322590816e-05
77,-125.1,40.8,2.6916696184e-05
78,-125.1,40.9,3.3187048239999994e-06
79,-125.1,41.0,7.602377013799998e-07
80,-125.1,41.1,9.469184626000002e-07
81,-125.1,41.2,4.0330764372249994e-07
82,-125.1,41.3,3.7698025035899997e-07
83,-125.1,41.4,6.129936766e-07
84,-125.1,41.5,1.0276226601e-06
85,-125.1,41.6,2.5358328936e-07
86,-125.1,41.7,1.5686231799999998e-07
87,-125.1,41.8,1.3809606336e-07
88,-125.1,41.9,1.7107963882e-07
89,-125.1,42.0,1.8409969113000003e-07
90,-125.1,42.1,1.3102562960399998e-07
91,-125.1,42.2,1.6235280568e-07
92,-125.1,42.3,2.4083274424000003e-07
93,-125.1,42.4,1.2160436224e-07
94,-125.1,42.5,5.26553348e-08
95,-125.1,42.6,4.086106956e-08
96,-125.1,42.7,3.6553282403999994e-08
97,-125.1,42.8,3.2870060321599996e-08
98,-125.1,42.9,2.9341451035600003e-08
99,-125.0,39.5,9.329471592e-08
100,-125.0,39.6,1.0718952807999998e-07
101,-125.0,39.7,1.3098273247999998e-07
102,-125.0,39.8,1.7292512495999998e-07
103,-125.0,39.9,2.7048726084999994e-07
104,-125.0,40.0,3.7816061805e-07
105,-125.0,40.1,5.599612522469999e-07
106,-125.0,40.2,1.6018817198000003e-06
107,-125.0,40.3,7.34997227e-06
108,-125.0,40.4,5.551480346400001e-06
109,-125.0,40.5,1.1402488589000001e-06
110,-125.0,40.6,1.0302865706e-06
111,-125.0,40.7,1.5644188652000003e-06
112,-125.0,40.8,2.5364598258000002e-06
113,-125.0,40.9,9.270958052000001e-07
114,-125.0,41.0,6.9326941603e-07
115,-125.0,41.1,9.913859698999998e-07
116,-125.0,41.2,4.57200976702e-07
117,-125.0,41.3,3.9613822413e-07
118,-125.0,41.4,4.4933730638999996e-07
119,-125.0,41.5,3.9951378010201e-07
120,-125.0,41.6,2.1598918976e-07
121,-125.0,41.7,1.3421065639999999e-07
122,-125.0,41.8,1.1207744904000001e-07
123,-125.0,41.9,1.1866281607999999e-07
124,-125.0,42.0,1.3497241720399997e-07
125,-125.0,42.1,1.32232043204e-07
126,-125.0,42.2,3.312291641600001e-07
127,-125.0,42.3,5.992875829799999e-07
128,-125.0,42.4,2.4003025492e-07
129,-125.0,42.5,7.407171263999998e-08
130,-125.0,42.6,4.197498564e-08
131,-125.0,42.7,3.9113188989999993e-08
132,-125.0,42.8,4.037996087696e-08
133,-125.0,42.9,2.8732582593319993e-08
134,-124.9,39.3,1.1203524153599997e-07
135,-124.9,39.4,9.162866848e-08
136,-124.9,39.5,9.177989508000001e-08
137,-124.9,39.6,1.0845719079999998e-07
138,-124.9,39.7,1.3263994e-07
139,-124.9,39.8,1.7113824056e-07
140,-124.9,39.9,2.4344218887999996e-07
141,-124.9,40.0,3.6615912239999996e-07
142,-124.9,40.1,6.342264716183729e-07
143,-124.9,40.2,1.8605706863e-06
144,-124.9,40.3,3.1909069644e-06
145,-124.9,40.4,2.7046456399999994e-06
146,-124.9,40.5,1.5668113579999999e-06
147,-124.9,40.6,3.1319525584e-06
148,-124.9,40.7,1.0788912282999997e-06
149,-124.9,40.8,1.4394551844999997e-06
150,-124.9,40.9,8.583773596e-07
151,-124.9,41.0,8.367337443999999e-07
152,-124.9,41.1,1.6343286260000003e-06
153,-124.9,41.2,5.6582306603e-07
154,-124.9,41.3,3.7597654913e-07
155,-124.9,41.4,3.3557443355e-07
156,-124.9,41.5,2.472523104e-07
157,-124.9,41.6,1.6290890576000001e-07
158,-124.9,41.7,1.1783498944000001e-07
159,-124.9,41.8,1.034763484e-07
160,-124.9,41.9,9.606098056e-08
161,-124.9,42.0,8.87734568e-08
162,-124.9,42.1,1.4890298824e-07
163,-124.9,42.2,6.6430639106e-07
164,-124.9,42.3,5.964368538800001e-07
165,-124.9,42.4,3.00045138072e-07
166,-124.9,42.5,1.1168053072800001e-07
167,-124.9,42.6,4.8846123780000006e-08
168,-124.9,42.7,1.5509257122784e-07
169,-124.9,42.8,2.7376118749521204e-07
170,-124.9,42.9,4.0528709498024e-08
171,-124.8,39.2,6.26561292336e-08
172,-124.8,39.3,7.1789244836e-08
173,-124.8,39.4,7.958597415999999e-08
174,-124.8,39.5,9.17638964e-08
175,-124.8,39.6,1.0932329243999998e-07
176,-124.8,39.7,1.3394723895999998e-07
177,-124.8,39.8,1.7128240680000004e-07
178,-124.8,39.9,2.365918318517996e-07
179,-124.8,40.0,3.723658774631785e-07
180,-124.8,40.1,9.202979249e-07
181,-124.8,40.2,2.3241266052000003e-06
182,-124.8,40.3,4.416900986e-06
183,-124.8,40.4,2.4743884304e-06
184,-124.8,40.5,2.5794941504e-06
185,-124.8,40.6,1.45104806684e-05
186,-124.8,40.7,1.6657016773999997e-06
187,-124.8,40.8,7.561568907e-07
188,-124.8,40.9,2.7625720669999996e-06
189,-124.8,41.0,2.2813148590000003e-06
190,-124.8,41.1,2.5979309778e-06
191,-124.8,41.2,7.453850203000001e-07
192,-124.8,41.3,4.0900165385999995e-07
193,-124.8,41.4,2.2276205338226997e-07
194,-124.8,41.5,1.6676654840000004e-07
195,-124.8,41.6,1.2918472704e-07
196,-124.8,41.7,1.1529996007999998e-07
197,-124.8,41.8,1.2270933975999997e-07
198,-124.8,41.9,1.108654444e-07
