,longitudes,latitudes,spatial_counts
0,-125.4,40.1,9.026145386e-06
1,-125.4,40.2,4.3411653567e-05
2,-125.4,40.3,0.00016626731485000002
3,-125.4,40.4,0.00024699568922999997
4,-125.4,40.5,0.00011853495846
5,-125.4,40.6,0.00011104772729999998
6,-125.4,40.7,8.09313482e-05
7,-125.4,40.8,6.044874379999999e-05
8,-125.4,40.9,4.998337060000001e-05
9,-125.4,41.0,4.382242004e-05
10,-125.3,40.0,2.7452546850649997e-06
11,-125.3,40.1,1.0542596199659998e-05
12,-125.3,40.2,4.9917301696600004e-05
13,-125.3,40.3,0.00017393240453600004
14,-125.3,40.4,0.0002546681328
15,-125.3,40.5,0.00011447114712999999
16,-125.3,40.6,8.29726779e-05
17,-125.3,40.7,0.0001068803
18,-125.3,40.8,6.9587338e-05
19,-125.3,40.9,4.8563173e-05
20,-125.3,41.0,4.19917518e-05
21,-125.3,41.1,3.3709592980999995e-05
22,-125.3,41.2,1.8740799517599997e-05
23,-125.3,41.3,9.514577895729999e-06
24,-125.3,41.4,5.5663593267e-06
25,-125.3,41.5,3.7677272917440002e-06
26,-125.3,41.6,2.6127933569107004e-06
27,-125.3,41.7,1.8963687720519e-06
28,-125.3,41.8,1.58968955632189e-06
29,-125.3,41.9,1.678196001352162e-06
30,-125.3,42.0,1.692821877230909e-06
31,-125.3,42.1,1.5223474165963892e-06
32,-125.3,42.2,1.0977394616455295e-06
33,-125.3,42.3,7.511541210107451e-07
34,-125.2,39.8,4.7575878742592995e-07
35,-125.2,39.9,1.0253817406805e-06
36,-125.2,40.0,3.0530656957529e-06
37,-125.2,40.1,1.1435577752849998e-05
38,-125.2,40.2,4.86369180704e-05
39,-125.2,40.3,0.00018380460705999998
40,-125.2,40.4,0.00025938598777100003
41,-125.2,40.5,9.775140873e-05
42,-125.2,40.6,7.189975010000001e-05
43,-125.2,40.7,0.000137416574
44,-125.2,40.8,7.8901504e-05
45,-125.2,40.9,4.1081343e-05
46,-125.2,41.0,3.2027044400000004e-05
47,-125.2,41.1,2.3866210031999996e-05
48,-125.2,41.2,1.4382682512599999e-05
49,-125.2,41.3,8.258306103839998e-06
50,-125.2,41.4,4.93969153746e-06
51,-125.2,41.5,3.3634131380289997e-06
52,-125.2,41.6,2.3493917798745004e-06
53,-125.2,41.7,1.7348192134464e-06
54,-125.2,41.8,1.4402425590573298e-06
55,-125.2,41.9,1.236420791810761e-06
56,-125.2,42.0,1.172222835067334e-06
57,-125.2,42.1,1.0303976453834587e-06
58,-125.2,42.2,8.151246629578849e-07
59,-125.2,42.3,6.108548359557961e-07
60,-125.2,42.4,4.820790220696898e-07
61,-125.2,42.5,3.925152516786841e-07
62,-125.2,42.6,3.2488820234123525e-07
63,-125.2,42.7,2.741316161871901e-07
64,-125.2,42.8,2.33018674166335e-07
65,-125.2,42.9,2.0638924864479063e-07
66,-125.1,39.7,2.6563467779646005e-07
67,-125.1,39.8,4.7228778382414004e-07
68,-125.1,39.9,1.0838901444115e-06
69,-125.1,40.0,3.5493600294522004e-06
70,-125.1,40.1,1.1615423162178e-05
71,-125.1,40.2,4.649887503314e-05
72,-125.1,40.3,0.00020062636670989997
73,-125.1,40.4,0.00020735061853440002
74,-125.1,40.5,7.623874302999999e-05
75,-125.1,40.6,6.20479736e-05
76,-125.1,40.7,6.0488146e-05
77,-125.1,40.8,4.5343466e-05
78,-125.1,40.9,3.0888032e-05
79,-125.1,41.0,2.3768934e-05
80,-125.1,41.1,1.5651010549999998e-05
81,-125.1,41.2,1.014065330132e-05
82,-125.1,41.3,6.83157805079e-06
83,-125.1,41.4,4.3224608123e-06
84,-125.1,41.5,2.942717844158e-06
85,-125.1,41.6,2.1104427049665998e-06
86,-125.1,41.7,1.5962698739839998e-06
87,-125.1,41.8,1.3127395096330796e-06
88,-125.1,41.9,1.117249845387955e-06
89,-125.1,42.0,9.68912380912042e-07
90,-125.1,42.1,8.4398009764829e-07
91,-125.1,42.2,6.912522753242779e-07
92,-125.1,42.3,5.62590245743171e-07
93,-125.1,42.4,4.62226865936823e-07
94,-125.1,42.5,3.8172991312510933e-07
95,-125.1,42.6,3.201124993828966e-07
96,-125.1,42.7,2.69698857124917e-07
97,-125.1,42.8,2.321187926921995e-07
98,-125.1,42.9,2.0182992849760079e-07
99,-125.0,39.5,1.45003464222713e-07
100,-125.0,39.6,1.8494754071817498e-07
101,-125.0,39.7,2.6848533825249e-07
102,-125.0,39.8,4.7163696393314004e-07
103,-125.0,39.9,1.140116277009e-06
104,-125.0,40.0,3.6678474096923997e-06
105,-125.0,40.1,1.213513473889e-05
106,-125.0,40.2,4.6866352259795e-05
107,-125.0,40.3,0.00018015368294456
108,-125.0,40.4,0.00015735852854429998
109,-125.0,40.5,6.162147146399999e-05
110,-125.0,40.6,5.32170323e-05
111,-125.0,40.7,4.8796616e-05
112,-125.0,40.8,3.5104636e-05
113,-125.0,40.9,2.3044225400000004e-05
114,-125.0,41.0,1.5897504269999998e-05
115,-125.0,41.1,1.1064545833e-05
116,-125.0,41.2,7.596602765360001e-06
117,-125.0,41.3,5.58464890805e-06
118,-125.0,41.4,3.7894564570219994e-06
119,-125.0,41.5,2.6309158717449995e-06
120,-125.0,41.6,1.8695520012801e-06
121,-125.0,41.7,1.4593014167327502e-06
122,-125.0,41.8,1.2097515071501802e-06
123,-125.0,41.9,1.0251724819160799e-06
124,-125.0,42.0,8.828122284399311e-07
125,-125.0,42.1,7.66072273380076e-07
126,-125.0,42.2,6.40413077903608e-07
127,-125.0,42.3,5.370765670650889e-07
128,-125.0,42.4,4.48589264574133e-07
129,-125.0,42.5,3.76315320930709e-07
130,-125.0,42.6,3.1714559387762895e-07
131,-125.0,42.7,2.676591817557457e-07
132,-125.0,42.8,2.2799924942402258e-07
133,-125.0,42.9,2.0029122146552019e-07
134,-124.9,39.3,1.086036253857892e-07
135,-124.9,39.4,1.285605406878908e-07
136,-124.9,39.5,1.58363770487597e-07
137,-124.9,39.6,1.9957446220627798e-07
138,-124.9,39.7,2.9277762801197003e-07
139,-124.9,39.8,5.3313876904345e-07
140,-124.9,39.9,1.1721793897371e-06
141,-124.9,40.0,3.4040163139284e-06
142,-124.9,40.1,1.1962770365322003e-05
143,-124.9,40.2,4.5797033845685e-05
144,-124.9,40.3,0.000116402643219177
145,-124.9,40.4,0.00010345037119582
146,-124.9,40.5,6.0871105990999994e-05
147,-124.9,40.6,4.837396343e-05
148,-124.9,40.7,3.9540484200000005e-05
149,-124.9,40.8,2.6661055500000003e-05
150,-124.9,40.9,1.746153576e-05
151,-124.9,41.0,1.2337827937e-05
152,-124.9,41.1,8.824286381600001e-06
153,-124.9,41.2,6.136611896550001e-06
154,-124.9,41.3,4.511768367138e-06
155,-124.9,41.4,3.2856354849309996e-06
156,-124.9,41.5,2.331954569116e-06
157,-124.9,41.6,1.6876522933563e-06
158,-124.9,41.7,1.3320453317084896e-06
159,-124.9,41.8,1.10882703167845e-06
160,-124.9,41.9,9.471193989750701e-07
161,-124.9,42.0,8.27299528014705e-07
162,-124.9,42.1,7.140064949586159e-07
163,-124.9,42.2,6.09414659615574e-07
164,-124.9,42.3,5.20943242144364e-07
165,-124.9,42.4,4.40886827920664e-07
166,-124.9,42.5,3.72925550620406e-07
167,-124.9,42.6,3.16206191156458e-07
168,-124.9,42.7,2.66751483929637e-07
169,-124.9,42.8,2.27677543391978e-07
170,-124.9,42.9,1.9846769443445903e-07
171,-124.8,39.2,1.1798483528567702e-07
172,-124.8,39.3,1.305377736551983e-07
173,-124.8,39.4,1.4867975251541797e-07
174,-124.8,39.5,1.7729041418458602e-07
175,-124.8,39.6,2.2787732262197e-07
176,-124.8,39.7,3.4772181643552996e-07
177,-124.8,39.8,5.908466215451401e-07
178,-124.8,39.9,1.1719494704207999e-06
179,-124.8,40.0,3.1097642570293998e-06
180,-124.8,40.1,1.1898546267396e-05
181,-124.8,40.2,5.9183715026865996e-05
182,-124.8,40.3,0.00014071701890658997
183,-124.8,40.4,0.00012051779286619998
184,-124.8,40.5,6.571512304727e-05
185,-124.8,40.6,4.2686271305e-05
186,-124.8,40.7,3.191720606999999e-05
187,-124.8,40.8,1.9975091679999995e-05
188,-124.8,40.9,1.4146254855e-05
189,-124.8,41.0,1.08116572525e-05
190,-124.8,41.1,7.883789824139999e-06
191,-124.8,41.2,5.548342081435e-06
192,-124.8,41.3,3.845043505621999e-06
193,-124.8,41.4,2.8680970705510003e-06
194,-124.8,41.5,2.0922433499633006e-06
195,-124.8,41.6,1.5486210437062e-06
196,-124.8,41.7,1.22554302523241e-06
197,-124.8,41.8,1.01595163942826e-06
198,-124.8,41.9,8.8421853544671e-07
199,-124.8,42.0,7.79737551807075e-07
200,-124.8,42.1,6.77210321065816e-07
201,-124.8,42.2,5.876551895479101e-07
202,-124.8,42.3,5.09511091353898e-07
203,-124.8,42.4,4.37547481169408e-07
204,-124.8,42.5,3.70091250894212e-07
205,-124.8,42.6,3.14450452667343e-07
206,-124.8,42.7,2.65477348235584e-07
207,-124.8,42.8,2.2803053370299802e-07
208,-124.8,42.9,1.98712003197512e-07
209,-124.7,39.0,1.253948694915894e-07
210,-124.7,39.1,1.3752545840180639e-07
211,-124.7,39.2,1.498871327761172e-07
212,-124.7,39.3,1.654721449397458e-07
213,-124.7,39.4,1.8689810014721703e-07
214,-124.7,39.5,2.15959028390897e-07
215,-124.7,39.6,2.7384493730573e-07
216,-124.7,39.7,3.9254805869462e-07
217,-124.7,39.8,6.235261151022201e-07
218,-124.7,39.9,1.1736506912665e-06
219,-124.7,40.0,2.8906053471241e-06
220,-124.7,40.1,1.6091191079831003e-05
221,-124.7,40.2,0.00013374793158941
222,-124.7,40.3,0.0003177741680583
223,-124.7,40.4,0.0001849211559454
224,-124.7,40.5,6.188794233309002e-05
225,-124.7,40.6,3.891071894121e-05
226,-124.7,40.7,3.0060618660000003e-05
227,-124.7,40.8,1.8970118128299998e-05
228,-124.7,40.9,1.36334543348e-05
229,-124.7,41.0,1.056966229884e-05
230,-124.7,41.1,7.5285545217579995e-06
231,-124.7,41.2,5.269827646409e-06
232,-124.7,41.3,3.6661632337199993e-06
233,-124.7,41.4,2.6392111414319e-06
234,-124.7,41.5,1.9156434630107e-06
235,-124.7,41.6,1.4441607508834e-06
236,-124.7,41.7,1.1537415417028602e-06
237,-124.7,41.8,9.466266969034299e-07
238,-124.7,41.9,8.303861302429999e-07
239,-124.7,42.0,7.41149033020826e-07
240,-124.7,42.1,6.52075840798476e-07
241,-124.7,42.2,5.739931946886609e-07
242,-124.7,42.3,5.00311357586695e-07
243,-124.7,42.4,4.31494710869247e-07
244,-124.7,42.5,3.67418378174149e-07
245,-124.7,42.6,3.11046238399296e-07
246,-124.7,42.7,2.64373841203628e-07
247,-124.7,42.8,2.27667562246073e-07
248,-124.7,42.9,1.9803223996058897e-07
249,-124.6,38.9,1.4927959474387797e-07
250,-124.6,39.0,1.6574389698106048e-07
251,-124.6,39.1,1.8377379224433772e-07
252,-124.6,39.2,2.0240676073476677e-07
253,-124.6,39.3,2.211696026935082e-07
254,-124.6,39.4,2.5161595793837e-07
255,-124.6,39.5,2.9196710535676003e-07
256,-124.6,39.6,3.5942491599496996e-07
257,-124.6,39.7,4.5806703868305e-07
258,-124.6,39.8,6.671527137601e-07
259,-124.6,39.9,1.1670748414779999e-06
260,-124.6,40.0,3.0740172946483e-06
261,-124.6,40.1,2.2942454840382e-05
262,-124.6,40.2,0.0006830131998893
263,-124.6,40.3,0.0008596505877929999
264,-124.6,40.4,0.00025948096458679995
265,-124.6,40.5,8.57602056973e-05
266,-124.6,40.6,4.333785732897e-05
267,-124.6,40.7,3.900774304406999e-05
268,-124.6,40.8,2.2625727550790004e-05
269,-124.6,40.9,1.4381204252390002e-05
270,-124.6,41.0,1.099539168768e-05
271,-124.6,41.1,7.480827256973998e-06
272,-124.6,41.2,5.201135175425e-06
273,-124.6,41.3,3.626375728406e-06
274,-124.6,41.4,2.5491729710261e-06
275,-124.6,41.5,1.8455460435454e-06
276,-124.6,41.6,1.4048243590814e-06
277,-124.6,41.7,1.1103016619265598e-06
278,-124.6,41.8,9.1738667864501e-07
279,-124.6,41.9,7.9329905377098e-07
280,-124.6,42.0,7.112403246572499e-07
281,-124.6,42.1,6.332915383525911e-07
282,-124.6,42.2,5.614773783737279e-07
283,-124.6,42.3,4.91208752408703e-07
284,-124.6,42.4,4.2485083270625294e-07
285,-124.6,42.5,3.61907143906181e-07
286,-124.6,42.6,3.06460002694341e-07
287,-124.6,42.7,2.6176044339372003e-07
288,-124.6,42.8,2.2555872287818596e-07
289,-124.6,42.9,1.9598443871469195e-07
290,-124.5,38.7,1.597740414651917e-07
291,-124.5,38.8,1.807463489073378e-07
292,-124.5,38.9,2.051507544815193e-07
293,-124.5,39.0,2.335209733928116e-07
294,-124.5,39.1,2.629994726612354e-07
295,-124.5,39.2,2.899054141777869e-07
296,-124.5,39.3,3.1853215861078903e-07
297,-124.5,39.4,3.6168182615009297e-07
298,-124.5,39.5,4.13322923285122e-07
299,-124.5,39.6,4.833367547221099e-07
300,-124.5,39.7,5.824241396279401e-07
301,-124.5,39.8,7.5651775767e-07
302,-124.5,39.9,1.1044629679807e-06
303,-124.5,40.0,3.0161609636367e-06
304,-124.5,40.1,2.5536864414772997e-05
305,-124.5,40.2,0.0003931314406043
306,-124.5,40.3,0.0006039348827832999
307,-124.5,40.4,0.0002562119544692
308,-124.5,40.5,0.000100960849711
309,-124.5,40.6,4.968007634131e-05
310,-124.5,40.7,4.5638409815320004e-05
311,-124.5,40.8,2.552907111849e-05
312,-124.5,40.9,1.478798646453e-05
313,-124.5,41.0,1.1147776638352001e-05
314,-124.5,41.1,7.60643831578e-06
315,-124.5,41.2,5.274363861742e-06
316,-124.5,41.3,3.6818385844380006e-06
317,-124.5,41.4,2.5505487673580996e-06
318,-124.5,41.5,1.845959605591e-06
319,-124.5,41.6,1.392235808147e-06
320,-124.5,41.7,1.0941630260912299e-06
321,-124.5,41.8,9.0514610202206e-07
322,-124.5,41.9,7.797188061448101e-07
323,-124.5,42.0,6.874702346140399e-07
324,-124.5,42.1,6.14612366058062e-07
325,-124.5,42.2,5.46493443195984e-07
326,-124.5,42.3,4.788069191248549e-07
327,-124.5,42.4,4.1270914686534905e-07
328,-124.5,42.5,3.52564691859277e-07
329,-124.5,42.6,2.9826736700043904e-07
330,-124.5,42.7,2.563391344838659e-07
331,-124.5,42.8,2.20833913199329e-07
332,-124.5,42.9,1.93379294698863e-07
333,-124.4,38.6,1.852876677657107e-07
334,-124.4,38.7,2.168403608819508e-07
335,-124.4,38.8,2.536394824561953e-07
