,longitudes,latitudes,spatial_counts
0,-125.4,40.1,0.002543603729800557
1,-125.4,40.2,0.004367189708239354
2,-125.4,40.3,0.010637509247037663
3,-125.4,40.4,0.013573524641436838
4,-125.4,40.5,0.007204340606039136
5,-125.4,40.6,0.009101169016534053
6,-125.4,40.7,0.00665707772936778
7,-125.4,40.8,0.004618634062464552
8,-125.4,40.9,0.004539422421882761
9,-125.4,41.0,0.007710915453270456
10,-125.3,40.0,0.0018875571744590828
11,-125.3,40.1,0.0027265968038866243
12,-125.3,40.2,0.004531644550810073
13,-125.3,40.3,0.010309078429794161
14,-125.3,40.4,0.012589671848635789
15,-125.3,40.5,0.006858677799189267
16,-125.3,40.6,0.009210165052666771
17,-125.3,40.7,0.009613763478400369
18,-125.3,40.8,0.005578585455836276
19,-125.3,40.9,0.005136238915593189
20,-125.3,41.0,0.005742555302430906
21,-125.3,41.1,0.003065320261266672
22,-125.3,41.2,0.0024845775725995806
23,-125.3,41.3,0.0021572422853038654
24,-125.3,41.4,0.0012780255417851319
25,-125.3,41.5,0.0013334354177640833
26,-125.3,41.6,0.0017805709553825853
27,-125.3,41.7,0.001659918274941752
28,-125.3,41.8,0.0014522046157061823
29,-125.3,41.9,0.0011115219231331189
30,-125.3,42.0,0.0009372850847027448
31,-125.3,42.1,0.0007298408451905592
32,-125.3,42.2,0.0005833176128218771
33,-125.3,42.3,0.0004655704186684507
34,-125.2,39.8,0.0011909338089147955
35,-125.2,39.9,0.0015213999846106353
36,-125.2,40.0,0.002034163556942603
37,-125.2,40.1,0.002891290570564514
38,-125.2,40.2,0.004732644913949237
39,-125.2,40.3,0.010619263090513819
40,-125.2,40.4,0.010038942385817923
41,-125.2,40.5,0.006785906681952471
42,-125.2,40.6,0.006339936101349184
43,-125.2,40.7,0.008235186073947305
44,-125.2,40.8,0.00844032734552055
45,-125.2,40.9,0.005027726825835355
46,-125.2,41.0,0.005309154902246561
47,-125.2,41.1,0.0026866630525209127
48,-125.2,41.2,0.0018544310867960748
49,-125.2,41.3,0.0014579362444827892
50,-125.2,41.4,0.0011487870038504942
51,-125.2,41.5,0.0010735588914535703
52,-125.2,41.6,0.0011095014998375255
53,-125.2,41.7,0.0010684942178847477
54,-125.2,41.8,0.0009580268779290306
55,-125.2,41.9,0.0008193911612836466
56,-125.2,42.0,0.0007025191811335436
57,-125.2,42.1,0.0005948824407269653
58,-125.2,42.2,0.0005088515345892414
59,-125.2,42.3,0.00043370628355042724
60,-125.2,42.4,0.00035702532130964156
61,-125.2,42.5,0.0002946997131569419
62,-125.2,42.6,0.0002484251226576818
63,-125.2,42.7,0.00021284942751381106
64,-125.2,42.8,0.00018616637690187278
65,-125.2,42.9,0.0001650026091960921
66,-125.1,39.7,0.0010122710383281275
67,-125.1,39.8,0.0012607725199314092
68,-125.1,39.9,0.0016241724805542443
69,-125.1,40.0,0.002180769939424102
70,-125.1,40.1,0.003110882259468244
71,-125.1,40.2,0.005079827359369581
72,-125.1,40.3,0.011221386255438203
73,-125.1,40.4,0.00949235750093123
74,-125.1,40.5,0.005967231613082722
75,-125.1,40.6,0.005177311715991124
76,-125.1,40.7,0.005459892088668708
77,-125.1,40.8,0.005723483779373559
78,-125.1,40.9,0.003978776624758493
79,-125.1,41.0,0.0034310865014529905
80,-125.1,41.1,0.0025604439829395565
81,-125.1,41.2,0.0016365804445606052
82,-125.1,41.3,0.0012565936311881606
83,-125.1,41.4,0.0010374982628518908
84,-125.1,41.5,0.0009265942351957235
85,-125.1,41.6,0.0008750745700323655
86,-125.1,41.7,0.0008201318495122082
87,-125.1,41.8,0.0007457266945525509
88,-125.1,41.9,0.0006608567844266642
89,-125.1,42.0,0.0005833576997764567
90,-125.1,42.1,0.000520300164576611
91,-125.1,42.2,0.000484029508511681
92,-125.1,42.3,0.0004567192700244929
93,-125.1,42.4,0.0003587927733953613
94,-125.1,42.5,0.00028764103739276916
95,-125.1,42.6,0.0002431394817499511
96,-125.1,42.7,0.00021109034133589188
97,-125.1,42.8,0.00018441009032728518
98,-125.1,42.9,0.00016447656474596857
99,-125.0,39.5,0.0007401415992908574
100,-125.0,39.6,0.0008681090852451439
101,-125.0,39.7,0.0010564428654552468
102,-125.0,39.8,0.0013306112309489396
103,-125.0,39.9,0.0017397915384920648
104,-125.0,40.0,0.002364027917527944
105,-125.0,40.1,0.0034219704854150526
106,-125.0,40.2,0.0056280101679403
107,-125.0,40.3,0.012681078776474987
108,-125.0,40.4,0.009783869439534187
109,-125.0,40.5,0.00605819550962192
110,-125.0,40.6,0.005613295860502918
111,-125.0,40.7,0.004335263153463947
112,-125.0,40.8,0.004002816187468865
113,-125.0,40.9,0.003671325703754117
114,-125.0,41.0,0.0030338028012863445
115,-125.0,41.1,0.00232603713943191
116,-125.0,41.2,0.0015339565883006334
117,-125.0,41.3,0.0011595177283490582
118,-125.0,41.4,0.0009549291969498157
119,-125.0,41.5,0.0008351893880084807
120,-125.0,41.6,0.0007569663458568013
121,-125.0,41.7,0.0006950572755130077
122,-125.0,41.8,0.000631548444668216
123,-125.0,41.9,0.0005682299574989963
124,-125.0,42.0,0.0005122165168777485
125,-125.0,42.1,0.0004723544156223461
126,-125.0,42.2,0.000510624536452144
127,-125.0,42.3,0.00073110487798533
128,-125.0,42.4,0.00037823474633776836
129,-125.0,42.5,0.00028234703056939956
130,-125.0,42.6,0.00023609196053997749
131,-125.0,42.7,0.00020581308280254618
132,-125.0,42.8,0.00018265380375268562
133,-125.0,42.9,0.00016395052029569282
134,-124.9,39.3,0.000603414147158708
135,-124.9,39.4,0.0006617109132694173
136,-124.9,39.5,0.0007530617768342769
137,-124.9,39.6,0.0008920696332452451
138,-124.9,39.7,0.0010987741997863219
139,-124.9,39.8,0.0014022878027801003
140,-124.9,39.9,0.0018719276047071535
141,-124.9,40.0,0.0026205890868723353
142,-124.9,40.1,0.0038977524780402077
143,-124.9,40.2,0.00634064781906759
144,-124.9,40.3,0.009944155299520838
145,-124.9,40.4,0.008289870754159734
146,-124.9,40.5,0.007204340606039136
147,-124.9,40.6,0.007502560486689474
148,-124.9,40.7,0.003990618802350294
149,-124.9,40.8,0.003278324569827477
150,-124.9,40.9,0.003635155007166029
151,-124.9,41.0,0.003069919501301174
152,-124.9,41.1,0.0028128821221034086
153,-124.9,41.2,0.0014655406841282785
154,-124.9,41.3,0.0010894073540783035
155,-124.9,41.4,0.0008938998873705341
156,-124.9,41.5,0.0007706683194071144
157,-124.9,41.6,0.0006871751224797351
158,-124.9,41.7,0.000620012531113116
159,-124.9,41.8,0.0005619710736456714
160,-124.9,41.9,0.0005076662629688939
161,-124.9,42.0,0.00046241768884756673
162,-124.9,42.1,0.00043328750906735145
163,-124.9,42.2,0.0004858025103743833
164,-124.9,42.3,0.0007434964860864605
165,-124.9,42.4,0.0003658625817379803
166,-124.9,42.5,0.00027175901692316393
167,-124.9,42.6,0.0002308063196321486
168,-124.9,42.7,0.000202294910446889
169,-124.9,42.8,0.00018089751717805693
170,-124.9,42.9,0.0001627230832453266
171,-124.8,39.2,0.0005097309381524025
172,-124.8,39.3,0.0005775006561765261
173,-124.8,39.4,0.0006561658497503576
174,-124.8,39.5,0.000762290475080338
175,-124.8,39.6,0.0009141870621682317
176,-124.8,39.7,0.0011337435629280971
177,-124.8,39.8,0.0014647750705329623
178,-124.8,39.9,0.0020003932246382603
179,-124.8,40.0,0.0029138018518368096
180,-124.8,40.1,0.004702922004019804
181,-124.8,40.2,0.0088988342590459
182,-124.8,40.3,0.013976555888897043
183,-124.8,40.4,0.009000431104521622
184,-124.8,40.5,0.007750123985288034
185,-124.8,40.6,0.006339936101349184
186,-124.8,40.7,0.0038455053913555746
187,-124.8,40.8,0.0030972016654175452
188,-124.8,40.9,0.003996861973052049
189,-124.8,41.0,0.0028712776512160513
190,-124.8,41.1,0.0021637554785407013
191,-124.8,41.2,0.001348513479620658
192,-124.8,41.3,0.0010228923836141238
193,-124.8,41.4,0.0008436404559527051
194,-124.8,41.5,0.0007240697698616967
195,-124.8,41.6,0.0006370686031320065
196,-124.8,41.7,0.000569982701513942
197,-124.8,41.8,0.0005138021244759182
198,-124.8,41.9,0.0004649154197719808
199,-124.8,42.0,0.0004250685678254221
200,-124.8,42.1,0.00039599637099168656
201,-124.8,42.2,0.0003953794153776766
202,-124.8,42.3,0.0003983016889750051
203,-124.8,42.4,0.0003163739233386757
204,-124.8,42.5,0.0002594063343357376
205,-124.8,42.6,0.00022375879842201205
206,-124.8,42.7,0.00019701765191364152
207,-124.8,42.8,0.00017738494402905485
208,-124.8,42.9,0.00016061890544481603
209,-124.7,39.0,0.00041078521858522386
210,-124.7,39.1,0.00045476035591554033
211,-124.7,39.2,0.0005078773711045435
212,-124.7,39.3,0.0005737987288931286
213,-124.7,39.4,0.0006561658497503576
214,-124.7,39.5,0.0007696734336767652
215,-124.7,39.6,0.0009252457766308761
216,-124.7,39.7,0.0011558294764921029
217,-124.7,39.8,0.001514397312571537
218,-124.7,39.9,0.0021105066131490544
219,-124.7,40.0,0.0032436662124227904
220,-124.7,40.1,0.005745982526310947
221,-124.7,40.2,0.014070025419856686
