,longitudes,latitudes,spatial_counts
0,-125.4,40.1,3.837436845853075e-09
1,-125.4,40.2,4.604668010802069e-07
2,-125.4,40.3,9.144042808728819e-06
3,-125.4,40.4,1.912234031045254e-05
4,-125.4,40.5,1.2651149199702375e-05
5,-125.4,40.6,3.674235101927208e-05
6,-125.4,40.7,3.803856737189865e-05
7,-125.4,40.8,9.098494184870622e-06
8,-125.4,40.9,2.7677523617601755e-06
9,-125.4,41.0,9.401911932017285e-06
10,-125.3,40.0,8.876970397005879e-11
11,-125.3,40.1,1.0634317097489012e-08
12,-125.3,40.2,2.3098919340196604e-07
13,-125.3,40.3,4.543248753412074e-06
14,-125.3,40.4,6.411164933643698e-06
15,-125.3,40.5,6.398941859151602e-06
16,-125.3,40.6,4.210530665116222e-05
17,-125.3,40.7,3.720389466576213e-05
18,-125.3,40.8,7.237779081393563e-06
19,-125.3,40.9,2.7359606116575916e-06
20,-125.3,41.0,8.193761580466833e-06
21,-125.3,41.1,2.91050584082255e-06
22,-125.3,41.2,7.164792261456084e-07
23,-125.3,41.3,6.29052178213717e-07
24,-125.3,41.4,9.790855509308598e-08
25,-125.3,41.5,2.5028353308513997e-08
26,-125.3,41.6,1.2074116385565817e-07
27,-125.3,41.7,1.2462110105086934e-07
28,-125.3,41.8,1.0007873058857828e-07
29,-125.3,41.9,1.9671765269238717e-08
30,-125.3,42.0,1.592640005191507e-08
31,-125.3,42.1,1.8509108986629468e-09
32,-125.3,42.2,2.1890322320145298e-10
33,-125.3,42.3,8.325085904315723e-10
34,-125.2,39.8,1.9346349722557945e-19
35,-125.2,39.9,2.1994340823929983e-14
36,-125.2,40.0,8.333115022054716e-11
37,-125.2,40.1,9.773353702579332e-09
38,-125.2,40.2,1.4482880715138628e-07
39,-125.2,40.3,2.3621874747793204e-06
40,-125.2,40.4,2.317288530232981e-06
41,-125.2,40.5,1.1014494953788666e-06
42,-125.2,40.6,6.908914470804408e-06
43,-125.2,40.7,1.3992490759092512e-05
44,-125.2,40.8,8.308135077009281e-06
45,-125.2,40.9,2.809829678069572e-06
46,-125.2,41.0,2.5096662634821134e-06
47,-125.2,41.1,6.315107804525379e-07
48,-125.2,41.2,1.6215497102066865e-07
49,-125.2,41.3,2.0652392730326345e-07
50,-125.2,41.4,2.0138536924360508e-08
51,-125.2,41.5,1.719830571662331e-09
52,-125.2,41.6,6.297970133076009e-09
53,-125.2,41.7,3.9889837979068476e-09
54,-125.2,41.8,3.0060514561099125e-09
55,-125.2,41.9,4.974120047714597e-10
56,-125.2,42.0,4.5452768739357527e-10
57,-125.2,42.1,4.1957652811942483e-11
58,-125.2,42.2,3.0846287523978805e-10
59,-125.2,42.3,8.423932570723674e-10
60,-125.2,42.4,1.0207266746374438e-10
61,-125.2,42.5,4.950529734826044e-13
62,-125.2,42.6,8.836932686103566e-17
63,-125.2,42.7,5.755223960820995e-22
64,-125.2,42.8,0.0
65,-125.2,42.9,0.0
66,-125.1,39.7,1.2008869323580495e-19
67,-125.1,39.8,2.6216394344061347e-20
68,-125.1,39.9,3.1027391930216687e-15
69,-125.1,40.0,1.2914196446904541e-11
70,-125.1,40.1,2.5582912305677716e-09
71,-125.1,40.2,2.0935462273152782e-07
72,-125.1,40.3,3.0442408071556947e-06
73,-125.1,40.4,2.615898474984243e-06
74,-125.1,40.5,5.22976873980002e-07
75,-125.1,40.6,8.940450903690818e-07
76,-125.1,40.7,4.7341885624592665e-06
77,-125.1,40.8,7.035507082229105e-06
78,-125.1,40.9,1.3979019529825147e-06
79,-125.1,41.0,4.7009559660098657e-07
80,-125.1,41.1,1.4664400024386706e-07
81,-125.1,41.2,1.8458858067397063e-08
82,-125.1,41.3,8.232144122974798e-09
83,-125.1,41.4,6.73109715725966e-10
84,-125.1,41.5,1.9607551129513312e-11
85,-125.1,41.6,5.748389663103159e-11
86,-125.1,41.7,2.2919566471992726e-11
87,-125.1,41.8,1.478582535791721e-11
88,-125.1,41.9,2.2158364811711183e-12
89,-125.1,42.0,2.175627166444272e-12
90,-125.1,42.1,1.3643122993114558e-10
91,-125.1,42.2,8.139203177579636e-09
92,-125.1,42.3,2.1343557969282536e-08
93,-125.1,42.4,2.946126051056534e-09
94,-125.1,42.5,1.58843941546856e-11
95,-125.1,42.6,2.939571361512198e-15
96,-125.1,42.7,1.86171672689388e-20
97,-125.1,42.8,0.0
98,-125.1,42.9,0.0
99,-125.0,39.5,4.317195143294585e-11
100,-125.0,39.6,8.476332583339474e-15
101,-125.0,39.7,5.656158419920031e-20
102,-125.0,39.8,1.476631997487529e-21
103,-125.0,39.9,2.9898260541943897e-16
104,-125.0,40.0,3.2403926521220176e-12
105,-125.0,40.1,2.43813480073098e-09
106,-125.0,40.2,2.718964820494583e-07
107,-125.0,40.3,3.314986735774547e-06
108,-125.0,40.4,2.6978513620295314e-06
109,-125.0,40.5,1.1136773719290285e-06
110,-125.0,40.6,9.711551879834966e-07
111,-125.0,40.7,7.6180296538974e-07
112,-125.0,40.8,1.2173777727807825e-06
113,-125.0,40.9,5.359715046491057e-07
114,-125.0,41.0,3.408776610108313e-07
115,-125.0,41.1,2.218771268789451e-07
116,-125.0,41.2,1.7434917377824658e-08
117,-125.0,41.3,9.629108401729763e-11
118,-125.0,41.4,3.406846499967866e-12
119,-125.0,41.5,3.8640589891344925e-14
120,-125.0,41.6,8.582337440043798e-14
121,-125.0,41.7,2.315975539915207e-14
122,-125.0,41.8,1.1852642286296805e-14
123,-125.0,41.9,1.6402347352308219e-15
124,-125.0,42.0,4.230794840580057e-13
125,-125.0,42.1,7.049252916631039e-10
126,-125.0,42.2,3.734554988790088e-08
127,-125.0,42.3,7.94708892998539e-08
128,-125.0,42.4,1.4959082957758773e-08
129,-125.0,42.5,8.990512349236243e-11
130,-125.0,42.6,1.74352016917733e-14
131,-125.0,42.7,1.1313999063296994e-19
132,-125.0,42.8,0.0
133,-125.0,42.9,0.0
134,-124.9,39.3,4.4260698867626206e-09
135,-124.9,39.4,5.805507559726005e-10
136,-124.9,39.5,3.0575360829161735e-12
137,-124.9,39.6,5.723311241773981e-16
138,-124.9,39.7,3.771089471421286e-21
139,-124.9,39.8,4.55817483394476e-19
140,-124.9,39.9,2.708017632076512e-15
141,-124.9,40.0,1.2165684693939028e-11
142,-124.9,40.1,7.52538773962882e-09
143,-124.9,40.2,3.387841503227819e-07
144,-124.9,40.3,1.9055985219873383e-06
145,-124.9,40.4,1.9235378775360697e-06
146,-124.9,40.5,2.0288869013948575e-06
147,-124.9,40.6,1.62954956591016e-06
148,-124.9,40.7,3.403401405143447e-07
149,-124.9,40.8,2.784049321904702e-07
150,-124.9,40.9,1.0883999152329517e-06
151,-124.9,41.0,9.411248488054677e-07
152,-124.9,41.1,3.2601021541823584e-07
153,-124.9,41.2,3.208657779038155e-08
154,-124.9,41.3,8.931090987660605e-11
155,-124.9,41.4,1.0709618253784205e-14
156,-124.9,41.5,1.4603733733508544e-17
157,-124.9,41.6,2.0373336613833985e-17
158,-124.9,41.7,4.061040476051991e-18
159,-124.9,41.8,1.5440718433657284e-18
160,-124.9,41.9,7.838314335506931e-18
161,-124.9,42.0,3.978841398649118e-13
162,-124.9,42.1,6.747194540805739e-10
163,-124.9,42.2,3.656637174834533e-08
164,-124.9,42.3,7.721022942912326e-08
165,-124.9,42.4,1.4986497282056392e-08
166,-124.9,42.5,9.058940239057778e-11
167,-124.9,42.6,1.773580861749473e-14
168,-124.9,42.7,1.1577749845318147e-19
169,-124.9,42.8,0.0
170,-124.9,42.9,0.0
171,-124.8,39.2,1.869709830544332e-11
172,-124.8,39.3,5.28448819776769e-11
173,-124.8,39.4,6.36742335316346e-12
174,-124.8,39.5,3.0556275085813526e-14
175,-124.8,39.6,5.446007949841213e-18
176,-124.8,39.7,1.2551266749445441e-21
177,-124.8,39.8,1.2609335010726734e-16
178,-124.8,39.9,4.756584579394479e-13
179,-124.8,40.0,1.1796166233609379e-10
180,-124.8,40.1,5.1156363475224465e-08
181,-124.8,40.2,2.1540096562636135e-06
182,-124.8,40.3,4.748902455289147e-06
183,-124.8,40.4,1.7097067814534176e-06
184,-124.8,40.5,2.0909668900332832e-06
185,-124.8,40.6,1.7713720353362143e-06
186,-124.8,40.7,4.4050086525100484e-07
187,-124.8,40.8,2.9357533212808967e-07
188,-124.8,40.9,1.1706844449065812e-06
189,-124.8,41.0,1.0718366333625863e-06
190,-124.8,41.1,2.634557817477613e-07
191,-124.8,41.2,1.9343170481116538e-08
192,-124.8,41.3,5.2411720344887845e-11
193,-124.8,41.4,4.707963033053906e-15
194,-124.8,41.5,1.6549662720854692e-20
195,-124.8,41.6,7.723733608185466e-22
196,-124.8,41.7,1.2194207070960763e-22
197,-124.8,41.8,3.137030071257607e-23
198,-124.8,41.9,1.2147499246322627e-18
199,-124.8,42.0,6.525961961225532e-14
200,-124.8,42.1,1.182526407477843e-10
201,-124.8,42.2,7.470943337908251e-09
