,longitudes,latitudes,spatial_counts
0,-125.4,40.1,5.0463195033000005e-05
1,-125.4,40.2,0.00023221913042900002
2,-125.4,40.3,0.0016062913510300001
3,-125.4,40.4,0.00102743117785
4,-125.4,40.5,0.00022092955573500004
5,-125.4,40.6,8.0337450083e-05
6,-125.4,40.7,0.00012086406254700001
7,-125.4,40.8,0.00015846134561899999
8,-125.4,40.9,8.9014239255e-05
9,-125.4,41.0,4.533550041000001e-05
10,-125.3,40.0,2.3355729444200002e-05
11,-125.3,40.1,5.576777428999999e-05
12,-125.3,40.2,0.000140072036603
13,-125.3,40.3,0.000322916931475
14,-125.3,40.4,0.00047629282835999996
15,-125.3,40.5,0.000180893591979
16,-125.3,40.6,8.633754860700001e-05
17,-125.3,40.7,0.000250041853386
18,-125.3,40.8,0.000368027577076
19,-125.3,40.9,0.000121216420075
20,-125.3,41.0,5.334389111600001e-05
21,-125.3,41.1,3.4039040944300004e-05
22,-125.3,41.2,2.2300793569299998e-05
23,-125.3,41.3,1.39788685777e-05
24,-125.3,41.4,9.501520833500002e-06
25,-125.3,41.5,7.5212494765000006e-06
26,-125.3,41.6,6.6355294454e-06
27,-125.3,41.7,6.079592377e-06
28,-125.3,41.8,5.5470984304000005e-06
29,-125.3,41.9,4.9565085975e-06
30,-125.3,42.0,4.3200499124e-06
31,-125.3,42.1,3.67729020595e-06
32,-125.3,42.2,3.06542881521e-06
33,-125.3,42.3,2.5099804797799997e-06
34,-125.2,39.8,3.0294631292900003e-06
35,-125.2,39.9,8.2442220397e-06
36,-125.2,40.0,2.25538579208e-05
37,-125.2,40.1,5.1720132379e-05
38,-125.2,40.2,0.00010762855566600001
39,-125.2,40.3,0.000256083056431
40,-125.2,40.4,0.00042381671590999994
41,-125.2,40.5,0.00015459026927
42,-125.2,40.6,8.1748429895e-05
43,-125.2,40.7,0.0003151227294890001
44,-125.2,40.8,0.00048142952135999995
45,-125.2,40.9,0.000130451251649
46,-125.2,41.0,5.5853972619e-05
47,-125.2,41.1,3.4363256250499996e-05
48,-125.2,41.2,2.23269420636e-05
49,-125.2,41.3,1.4104821571e-05
50,-125.2,41.4,9.6895017627e-06
51,-125.2,41.5,7.693259708200001e-06
52,-125.2,41.6,6.761571281100001e-06
53,-125.2,41.7,6.1609709232e-06
54,-125.2,41.8,5.5918798944e-06
55,-125.2,41.9,4.973376214200001e-06
56,-125.2,42.0,4.317891013e-06
57,-125.2,42.1,3.6643630791899993e-06
58,-125.2,42.2,3.0482906386899996e-06
59,-125.2,42.3,2.49301263963e-06
60,-125.2,42.4,2.0099554936300003e-06
61,-125.2,42.5,1.60147342964e-06
62,-125.2,42.6,1.26384956588e-06
63,-125.2,42.7,9.8984525859e-07
64,-125.2,42.8,7.7063649658e-07
65,-125.2,42.9,5.971817720600001e-07
66,-125.1,39.7,1.5765714449299999e-06
67,-125.1,39.8,3.1153086093000003e-06
68,-125.1,39.9,7.4145708934e-06
69,-125.1,40.0,1.97750891458e-05
70,-125.1,40.1,4.6888513097e-05
71,-125.1,40.2,9.295571632699999e-05
72,-125.1,40.3,0.00019376128907100002
73,-125.1,40.4,0.00026771800735500003
74,-125.1,40.5,0.00012194922052099999
75,-125.1,40.6,7.435143760900001e-05
76,-125.1,40.7,0.000188448590512
77,-125.1,40.8,0.00025942142442000004
78,-125.1,40.9,0.00010920931512499999
79,-125.1,41.0,5.216169587699999e-05
80,-125.1,41.1,3.15896374439e-05
81,-125.1,41.2,2.0658699891699996e-05
82,-125.1,41.3,1.34745983729e-05
83,-125.1,41.4,9.547081556399999e-06
84,-125.1,41.5,7.691805762500001e-06
85,-125.1,41.6,6.770146783e-06
86,-125.1,41.7,6.147052661100001e-06
87,-125.1,41.8,5.5543106458999995e-06
88,-125.1,41.9,4.919740705300001e-06
89,-125.1,42.0,4.257453160300001e-06
90,-125.1,42.1,3.60502993485e-06
91,-125.1,42.2,2.99536727904e-06
92,-125.1,42.3,2.4491408001599996e-06
93,-125.1,42.4,1.9756921297900002e-06
94,-125.1,42.5,1.5760824535699998e-06
95,-125.1,42.6,1.24599624487e-06
96,-125.1,42.7,9.780678209200001e-07
97,-125.1,42.8,7.635889749800001e-07
98,-125.1,42.9,5.937235960000001e-07
99,-125.0,39.5,9.015413442800001e-07
100,-125.0,39.6,1.19548875657e-06
101,-125.0,39.7,1.84394583993e-06
102,-125.0,39.8,3.2900778123700005e-06
103,-125.0,39.9,6.970174462799999e-06
104,-125.0,40.0,1.9772935368700002e-05
105,-125.0,40.1,5.4162776811e-05
106,-125.0,40.2,0.00010767988930599999
107,-125.0,40.3,0.000207056250502
108,-125.0,40.4,0.00023871528160699995
109,-125.0,40.5,0.000138073953908
110,-125.0,40.6,8.084229543100001e-05
111,-125.0,40.7,0.00010295486583200001
112,-125.0,40.8,0.000122871402037
113,-125.0,40.9,7.838021087599999e-05
114,-125.0,41.0,4.4152943428999995e-05
115,-125.0,41.1,2.76780226598e-05
116,-125.0,41.2,1.8553493748500002e-05
117,-125.0,41.3,1.2588210114300003e-05
118,-125.0,41.4,9.222052007600001e-06
119,-125.0,41.5,7.5518805809e-06
120,-125.0,41.6,6.6698126849999985e-06
121,-125.0,41.7,6.042953147200001e-06
122,-125.0,41.8,5.4406033266000005e-06
123,-125.0,41.9,4.8031544529e-06
124,-125.0,42.0,4.146861555300001e-06
125,-125.0,42.1,3.5071424764300007e-06
126,-125.0,42.2,2.91364110641e-06
127,-125.0,42.3,2.38416914991e-06
128,-125.0,42.4,1.9261484898999997e-06
129,-125.0,42.5,1.5396700426400001e-06
130,-125.0,42.6,1.2201832702000002e-06
131,-125.0,42.7,9.605107306299997e-07
132,-125.0,42.8,7.523154758999999e-07
133,-125.0,42.9,5.871584815600001e-07
134,-124.9,39.3,6.931667846399999e-07
135,-124.9,39.4,8.517803928000001e-07
136,-124.9,39.5,1.05603435734e-06
137,-124.9,39.6,1.40654122134e-06
138,-124.9,39.7,2.1310587474299994e-06
139,-124.9,39.8,3.5615678220600003e-06
140,-124.9,39.9,7.246681491399999e-06
141,-124.9,40.0,2.5715210765900003e-05
142,-124.9,40.1,9.225436904599999e-05
143,-124.9,40.2,0.000155744744128
144,-124.9,40.3,0.000197861068049
145,-124.9,40.4,0.000257926433193
146,-124.9,40.5,0.00022243326963299997
147,-124.9,40.6,0.000104069118487
148,-124.9,40.7,7.446276825700002e-05
149,-124.9,40.8,7.224712384799999e-05
150,-124.9,40.9,5.60857298e-05
151,-124.9,41.0,3.7126995102799996e-05
152,-124.9,41.1,2.49050464172e-05
153,-124.9,41.2,1.70939184248e-05
154,-124.9,41.3,1.18505659191e-05
155,-124.9,41.4,8.8414032507e-06
156,-124.9,41.5,7.3128407573e-06
157,-124.9,41.6,6.4760781417e-06
158,-124.9,41.7,5.8589262246e-06
159,-124.9,41.8,5.260723573100001e-06
160,-124.9,41.9,4.6339198335e-06
161,-124.9,42.0,3.9961507559e-06
162,-124.9,42.1,3.37977866559e-06
163,-124.9,42.2,2.8107934891899995e-06
164,-124.9,42.3,2.3042549338e-06
165,-124.9,42.4,1.86604789954e-06
166,-124.9,42.5,1.49573889244e-06
167,-124.9,42.6,1.1889351127e-06
168,-124.9,42.7,9.3895832649e-07
169,-124.9,42.8,7.380637579899999e-07
170,-124.9,42.9,5.783473723799999e-07
171,-124.8,39.2,6.6152907352e-07
172,-124.8,39.3,8.109044478899999e-07
173,-124.8,39.4,9.868001376800002e-07
174,-124.8,39.5,1.2197458117299999e-06
175,-124.8,39.6,1.6162575741999999e-06
176,-124.8,39.7,2.3897637985099995e-06
177,-124.8,39.8,3.8021396123e-06
178,-124.8,39.9,7.526759354800002e-06
179,-124.8,40.0,3.3338840685600004e-05
180,-124.8,40.1,0.000149242011142
181,-124.8,40.2,0.00024369000992999996
182,-124.8,40.3,0.00019485110620700002
183,-124.8,40.4,0.00031031450649600005
184,-124.8,40.5,0.00070700964477
185,-124.8,40.6,0.00041656990387999997
186,-124.8,40.7,7.569190294300001e-05
187,-124.8,40.8,6.0138063964999996e-05
188,-124.8,40.9,4.7792441084e-05
189,-124.8,41.0,3.46084812824e-05
190,-124.8,41.1,2.4211620793200004e-05
191,-124.8,41.2,1.65231453167e-05
192,-124.8,41.3,1.13449612256e-05
193,-124.8,41.4,8.4454820078e-06
194,-124.8,41.5,6.9995685109e-06
195,-124.8,41.6,6.2055672787e-06
196,-124.8,41.7,5.608317212499999e-06
197,-124.8,41.8,5.0271605331e-06
198,-124.8,41.9,4.4239439307e-06
199,-124.8,42.0,3.8161140389000005e-06
200,-124.8,42.1,3.2321468665400003e-06
201,-124.8,42.2,2.69426940231e-06
202,-124.8,42.3,2.21515332907e-06
203,-124.8,42.4,1.79967639251e-06
204,-124.8,42.5,1.4473940632900002e-06
205,-124.8,42.6,1.1544684846600002e-06
206,-124.8,42.7,9.1497787773e-07
207,-124.8,42.8,7.219297082e-07
208,-124.8,42.9,5.680571646000001e-07
209,-124.7,39.0,5.4348838514e-07
210,-124.7,39.1,6.5293120315e-07
211,-124.7,39.2,7.872367278e-07
212,-124.7,39.3,9.464283370199999e-07
213,-124.7,39.4,1.1375725243100003e-06
214,-124.7,39.5,1.3956583424099996e-06
215,-124.7,39.6,1.8222637447199997e-06
216,-124.7,39.7,2.6009637320999998e-06
217,-124.7,39.8,3.9484357099999995e-06
218,-124.7,39.9,7.308163469799999e-06
219,-124.7,40.0,3.4510498847700005e-05
220,-124.7,40.1,0.0004085273153699999
221,-124.7,40.2,0.0006687893868400001
222,-124.7,40.3,0.00034000988140400003
223,-124.7,40.4,0.00026895219644000005
224,-124.7,40.5,0.00056000422587
225,-124.7,40.6,0.00040018233028999995
226,-124.7,40.7,9.0253241621e-05
227,-124.7,40.8,6.361918174800001e-05
228,-124.7,40.9,4.8811498631000006e-05
229,-124.7,41.0,3.58145299486e-05
230,-124.7,41.1,2.48195271522e-05
231,-124.7,41.2,1.6357869495199998e-05
232,-124.7,41.3,1.0897465001000002e-05
233,-124.7,41.4,8.0033028473e-06
234,-124.7,41.5,6.6214129740000005e-06
235,-124.7,41.6,5.873592746999999e-06
236,-124.7,41.7,5.3059154838e-06
237,-124.7,41.8,4.7536761832e-06
238,-124.7,41.9,4.185559499100001e-06
239,-124.7,42.0,3.617202368e-06
240,-124.7,42.1,3.07263429721e-06
241,-124.7,42.2,2.57049695775e-06
242,-124.7,42.3,2.1216153270700004e-06
243,-124.7,42.4,1.73045718609e-06
244,-124.7,42.5,1.39707170058e-06
245,-124.7,42.6,1.11849540209e-06
246,-124.7,42.7,8.8977529189e-07
247,-124.7,42.8,7.047700544300001e-07
248,-124.7,42.9,5.5689517648e-07
249,-124.6,38.9,5.9392824983e-07
250,-124.6,39.0,6.856252298699999e-07
251,-124.6,39.1,8.009640249900002e-07
252,-124.6,39.2,9.4082051212e-07
253,-124.6,39.3,1.10699479091e-06
254,-124.6,39.4,1.31084688232e-06
255,-124.6,39.5,1.5906971039200002e-06
256,-124.6,39.6,2.0362683734999996e-06
257,-124.6,39.7,2.79408930602e-06
258,-124.6,39.8,4.1034533078e-06
259,-124.6,39.9,7.480796031299999e-06
260,-124.6,40.0,3.6074384388300006e-05
261,-124.6,40.1,0.0004120365495199999
262,-124.6,40.2,0.00072365978959
263,-124.6,40.3,0.0006373736938300001
264,-124.6,40.4,0.00021653644254899997
265,-124.6,40.5,0.00018290510417700003
266,-124.6,40.6,0.00015074968988099997
267,-124.6,40.7,9.584071274200001e-05
268,-124.6,40.8,7.0071113432e-05
269,-124.6,40.9,5.2891708558e-05
270,-124.6,41.0,3.7916738689e-05
271,-124.6,41.1,2.52602661541e-05
272,-124.6,41.2,1.5917169509e-05
273,-124.6,41.3,1.0278131757400003e-05
274,-124.6,41.4,7.468172677000001e-06
275,-124.6,41.5,6.1832711611e-06
276,-124.6,41.6,5.4948144486e-06
277,-124.6,41.7,4.9669891551e-06
278,-124.6,41.8,4.454133632099999e-06
279,-124.6,41.9,3.930433344699999e-06
280,-124.6,42.0,3.40861840262e-06
281,-124.6,42.1,2.90811083552e-06
282,-124.6,42.2,2.4443886728300002e-06
283,-124.6,42.3,2.0270493209499995e-06
284,-124.6,42.4,1.6607315117899998e-06
285,-124.6,42.5,1.3463697538799997e-06
286,-124.6,42.6,1.08213044172e-06
287,-124.6,42.7,8.641406972899999e-07
288,-124.6,42.8,6.8715734128e-07
289,-124.6,42.9,5.4528545269e-07
290,-124.5,38.7,6.3197018814e-07
291,-124.5,38.8,6.957960342800001e-07
292,-124.5,38.9,7.7357305373e-07
293,-124.5,39.0,8.7047930664e-07
294,-124.5,39.1,9.8960999819e-07
295,-124.5,39.2,1.13230464149e-06
296,-124.5,39.3,1.3023003113e-06
297,-124.5,39.4,1.5154082675399998e-06
298,-124.5,39.5,1.81327602337e-06
299,-124.5,39.6,2.2738826876800005e-06
300,-124.5,39.7,3.01407662462e-06
301,-124.5,39.8,4.3686032475e-06
302,-124.5,39.9,8.520065456499998e-06
303,-124.5,40.0,2.9559993877300005e-05
304,-124.5,40.1,0.00012118376726200001
305,-124.5,40.2,0.0004561068133600001
306,-124.5,40.3,0.00073470196204
307,-124.5,40.4,0.000128121393391
308,-124.5,40.5,0.00011371229884899999
309,-124.5,40.6,0.000107945283993
310,-124.5,40.7,8.933834812700001e-05
311,-124.5,40.8,7.3417112168e-05
312,-124.5,40.9,5.5808939349000004e-05
313,-124.5,41.0,3.8571100973e-05
314,-124.5,41.1,2.4427000595099997e-05
315,-124.5,41.2,1.47640609106e-05
316,-124.5,41.3,9.363605987799999e-06
317,-124.5,41.4,6.824911287399999e-06
318,-124.5,41.5,5.6963521256e-06
319,-124.5,41.6,5.0848414276999995e-06
320,-124.5,41.7,4.6065873183999995e-06
321,-124.5,41.8,4.1414508539e-06
322,-124.5,41.9,3.66869494067e-06
323,-124.5,42.0,3.1977079695699997e-06
324,-124.5,42.1,2.74355994501e-06
325,-124.5,42.2,2.319155493e-06
326,-124.5,42.3,1.93345943524e-06
327,-124.5,42.4,1.59173170872e-06
328,-124.5,42.5,1.2960723132999998e-06
329,-124.5,42.6,1.04590449785e-06
330,-124.5,42.7,8.384619103899998e-07
331,-124.5,42.8,6.693931618400001e-07
332,-124.5,42.9,5.3347383674e-07
333,-124.4,38.6,7.801752956200001e-07
334,-124.4,38.7,8.5033507317e-07
335,-124.4,38.8,9.2451906743e-07
336,-124.4,38.9,1.0091703431899998e-06
337,-124.4,39.0,1.11014992964e-06
338,-124.4,39.1,1.23116701031e-06
339,-124.4,39.2,1.37424590524e-06
340,-124.4,39.3,1.5448073111500002e-06
341,-124.4,39.4,1.7623696068500002e-06
342,-124.4,39.5,2.07181952974e-06
343,-124.4,39.6,2.5435447674599996e-06
344,-124.4,39.7,3.2765679603700004e-06
345,-124.4,39.8,4.6840640321999995e-06
346,-124.4,39.9,9.452325711200002e-06
347,-124.4,40.0,2.7484595039199998e-05
348,-124.4,40.1,8.5329649151e-05
349,-124.4,40.2,0.00041419097904000005
350,-124.4,40.3,0.000324776588913
351,-124.4,40.4,8.012073098300001e-05
352,-124.4,40.5,6.896341483400002e-05
353,-124.4,40.6,7.561761909900002e-05
354,-124.4,40.7,7.951274289700001e-05
355,-124.4,40.8,7.285706549999999e-05
356,-124.4,40.9,5.5613758605e-05
357,-124.4,41.0,3.6688849617700004e-05
358,-124.4,41.1,2.2003014174699997e-05
359,-124.4,41.2,1.2882565971699999e-05
360,-124.4,41.3,8.194659893000001e-06
361,-124.4,41.4,6.1048492476e-06
362,-124.4,41.5,5.181514248200001e-06
363,-124.4,41.6,4.660223872499999e-06
364,-124.4,41.7,4.2386755375e-06
365,-124.4,41.8,3.826713584999999e-06
366,-124.4,41.9,3.40836273374e-06
367,-124.4,42.0,2.9897094544700005e-06
368,-124.4,42.1,2.5820671322e-06
369,-124.4,42.2,2.19642017536e-06
370,-124.4,42.3,1.8415996207500002e-06
371,-124.4,42.4,1.5237654219199997e-06
372,-124.4,42.5,1.2462961054e-06
373,-124.4,42.6,1.0098774109499998e-06
374,-124.4,42.7,8.128068462300001e-07
375,-124.4,42.8,6.515664873299999e-07
376,-124.4,42.9,5.215616461600001e-07
377,-124.3,38.4,8.438492270100001e-07
378,-124.3,38.5,9.4868593008e-07
379,-124.3,38.6,1.0446982383499998e-06
380,-124.3,38.7,1.13375321798e-06
381,-124.3,38.8,1.22091319764e-06
382,-124.3,38.9,1.3132932136699997e-06
383,-124.3,39.0,1.41798318649e-06
384,-124.3,39.1,1.53989438949e-06
385,-124.3,39.2,1.6819027687899997e-06
386,-124.3,39.3,1.8503668745100002e-06
387,-124.3,39.4,2.0666292851100004e-06
388,-124.3,39.5,2.3771606657200003e-06
389,-124.3,39.6,2.8478150507499996e-06
390,-124.3,39.7,3.56406010567e-06
391,-124.3,39.8,4.9158298593e-06
392,-124.3,39.9,9.2786114665e-06
393,-124.3,40.0,2.43484127258e-05
394,-124.3,40.1,6.132339597999999e-05
395,-124.3,40.2,0.00014245748091499998
396,-124.3,40.3,0.000109394334621
397,-124.3,40.4,5.1524053957e-05
398,-124.3,40.5,4.5393389165999994e-05
399,-124.3,40.6,5.7484509506e-05
400,-124.3,40.7,7.052836924899999e-05
401,-124.3,40.8,6.8424639353e-05
402,-124.3,40.9,5.1522720403999996e-05
403,-124.3,41.0,3.2267273451700006e-05
404,-124.3,41.1,1.8388205594099997e-05
405,-124.3,41.2,1.0597679816599996e-05
