,longitudes,latitudes,spatial_counts,id
0,-125.4,40.1,0.0,1.0
1,-125.4,40.2,0.0,1.0
2,-125.4,40.3,0.0,1.0
3,-125.4,40.4,0.0,1.0
4,-125.4,40.5,0.0,1.0
5,-125.4,40.6,0.0,1.0
6,-125.4,40.7,0.0,1.0
7,-125.4,40.8,0.0,1.0
8,-125.4,40.9,0.0,1.0
9,-125.4,41.0,0.0,1.0
10,-125.3,40.0,0.0,1.0
11,-125.3,40.1,0.0,1.0
12,-125.3,40.2,0.0,1.0
13,-125.3,40.3,0.0,1.0
14,-125.3,40.4,0.0,1.0
15,-125.3,40.5,0.0,1.0
16,-125.3,40.6,0.0,1.0
17,-125.3,40.7,0.0,1.0
18,-125.3,40.8,0.0,1.0
19,-125.3,40.9,0.0,1.0
20,-125.3,41.0,0.0,1.0
21,-125.3,41.1,0.0,1.0
22,-125.3,41.2,0.0,1.0
23,-125.3,41.3,0.0,1.0
24,-125.3,41.4,0.0,1.0
25,-125.3,41.5,0.0,1.0
26,-125.3,41.6,0.0,1.0
27,-125.3,41.7,0.0,1.0
28,-125.3,41.8,0.0,1.0
29,-125.3,41.9,0.0,1.0
30,-125.3,42.0,0.0,1.0
31,-125.3,42.1,0.0,1.0
32,-125.3,42.2,0.0,1.0
33,-125.3,42.3,0.0,1.0
34,-125.2,39.8,0.0,1.0
35,-125.2,39.9,0.0,1.0
36,-125.2,40.0,0.0,1.0
37,-125.2,40.1,0.0,1.0
38,-125.2,40.2,0.0,1.0
39,-125.2,40.3,0.0,1.0
40,-125.2,40.4,0.0,1.0
41,-125.2,40.5,0.0,1.0
42,-125.2,40.6,0.0,1.0
43,-125.2,40.7,0.0,1.0
44,-125.2,40.8,0.0,1.0
45,-125.2,40.9,0.0,1.0
46,-125.2,41.0,0.0,1.0
47,-125.2,41.1,0.0,1.0
48,-125.2,41.2,0.0,1.0
49,-125.2,41.3,0.0,1.0
50,-125.2,41.4,0.0,1.0
51,-125.2,41.5,0.0,1.0
52,-125.2,41.6,0.0,1.0
53,-125.2,41.7,0.0,1.0
54,-125.2,41.8,0.0,1.0
55,-125.2,41.9,0.0,1.0
56,-125.2,42.0,0.0,1.0
57,-125.2,42.1,0.0,1.0
58,-125.2,42.2,0.0,1.0
59,-125.2,42.3,0.0,1.0
60,-125.2,42.4,0.0,1.0
61,-125.2,42.5,0.0,1.0
62,-125.2,42.6,0.0,1.0
63,-125.2,42.7,0.0,1.0
64,-125.2,42.8,0.0,1.0
65,-125.2,42.9,0.0,1.0
66,-125.1,39.7,0.0,1.0
67,-125.1,39.8,0.0,1.0
68,-125.1,39.9,0.0,1.0
69,-125.1,40.0,0.0,1.0
70,-125.1,40.1,0.0,1.0
71,-125.1,40.2,0.0,1.0
72,-125.1,40.3,0.0,1.0
73,-125.1,40.4,0.0,1.0
74,-125.1,40.5,0.0,1.0
75,-125.1,40.6,0.0,1.0
76,-125.1,40.7,0.0,1.0
77,-125.1,40.8,0.0,1.0
78,-125.1,40.9,0.0,1.0
79,-125.1,41.0,0.0,1.0
80,-125.1,41.1,0.0,1.0
81,-125.1,41.2,0.0,1.0
82,-125.1,41.3,0.0,1.0
83,-125.1,41.4,0.0,1.0
84,-125.1,41.5,0.0,1.0
85,-125.1,41.6,0.0,1.0
86,-125.1,41.7,0.0,1.0
87,-125.1,41.8,0.0,1.0
88,-125.1,41.9,0.0,1.0
89,-125.1,42.0,0.0,1.0
90,-125.1,42.1,0.0,1.0
91,-125.1,42.2,0.0,1.0
92,-125.1,42.3,0.0,1.0
93,-125.1,42.4,0.0,1.0
94,-125.1,42.5,0.0,1.0
95,-125.1,42.6,0.0,1.0
96,-125.1,42.7,0.0,1.0
97,-125.1,42.8,0.0,1.0
98,-125.1,42.9,0.0,1.0
99,-125.0,39.5,0.0,1.0
100,-125.0,39.6,0.0,1.0
101,-125.0,39.7,0.0,1.0
102,-125.0,39.8,0.0,1.0
103,-125.0,39.9,0.0,1.0
104,-125.0,40.0,0.0,1.0
105,-125.0,40.1,0.0,1.0
106,-125.0,40.2,0.0,1.0
107,-125.0,40.3,0.0,1.0
108,-125.0,40.4,0.0,1.0
109,-125.0,40.5,0.0,1.0
110,-125.0,40.6,0.0,1.0
111,-125.0,40.7,0.0,1.0
112,-125.0,40.8,0.0,1.0
113,-125.0,40.9,0.0,1.0
114,-125.0,41.0,0.0,1.0
115,-125.0,41.1,0.0,1.0
116,-125.0,41.2,0.0,1.0
117,-125.0,41.3,0.0,1.0
118,-125.0,41.4,0.0,1.0
119,-125.0,41.5,0.0,1.0
120,-125.0,41.6,0.0,1.0
121,-125.0,41.7,0.0,1.0
122,-125.0,41.8,0.0,1.0
123,-125.0,41.9,0.0,1.0
124,-125.0,42.0,0.0,1.0
125,-125.0,42.1,0.0,1.0
126,-125.0,42.2,0.0,1.0
127,-125.0,42.3,0.0,1.0
128,-125.0,42.4,0.0,1.0
129,-125.0,42.5,0.0,1.0
130,-125.0,42.6,0.0,1.0
131,-125.0,42.7,0.0,1.0
132,-125.0,42.8,0.0,1.0
133,-125.0,42.9,0.0,1.0
134,-124.9,39.3,0.0,1.0
135,-124.9,39.4,0.0,1.0
136,-124.9,39.5,0.0,1.0
137,-124.9,39.6,0.0,1.0
138,-124.9,39.7,0.0,1.0
139,-124.9,39.8,0.0,1.0
140,-124.9,39.9,0.0,1.0
141,-124.9,40.0,0.0,1.0
142,-124.9,40.1,0.0,1.0
143,-124.9,40.2,0.0,1.0
144,-124.9,40.3,0.0,1.0
145,-124.9,40.4,0.0,1.0
146,-124.9,40.5,0.0,1.0
147,-124.9,40.6,0.0,1.0
148,-124.9,40.7,0.0,1.0
149,-124.9,40.8,0.0,1.0
150,-124.9,40.9,0.0,1.0
151,-124.9,41.0,0.0,1.0
152,-124.9,41.1,0.0,1.0
153,-124.9,41.2,0.0,1.0
154,-124.9,41.3,0.0,1.0
155,-124.9,41.4,0.0,1.0
156,-124.9,41.5,0.0,1.0
157,-124.9,41.6,0.0,1.0
158,-124.9,41.7,0.0,1.0
159,-124.9,41.8,0.0,1.0
160,-124.9,41.9,0.0,1.0
161,-124.9,42.0,0.0,1.0
162,-124.9,42.1,0.0,1.0
163,-124.9,42.2,0.0,1.0
164,-124.9,42.3,0.0,1.0
165,-124.9,42.4,0.0,1.0
166,-124.9,42.5,0.0,1.0
167,-124.9,42.6,0.0,1.0
168,-124.9,42.7,0.0,1.0
169,-124.9,42.8,0.0,1.0
170,-124.9,42.9,0.0,1.0
171,-124.8,39.2,0.0,1.0
172,-124.8,39.3,0.0,1.0
