,longitudes,latitudes,spatial_counts
0,-125.4,40.1,3.1849403753675004e-05
1,-125.4,40.2,4.718801744172957e-05
2,-125.4,40.3,0.0020518228154153555
3,-125.4,40.4,0.0009218421308166856
4,-125.4,40.5,0.0004322435349230719
5,-125.4,40.6,0.00013066119025358802
6,-125.4,40.7,3.623916480759508e-05
7,-125.4,40.8,0.00015285425403584107
8,-125.4,40.9,4.9287095513432305e-05
9,-125.4,41.0,5.484366110851959e-05
10,-125.3,40.0,2.4046845963760638e-05
11,-125.3,40.1,3.109130060310794e-05
12,-125.3,40.2,4.63197722056899e-05
13,-125.3,40.3,5.071432484230668e-05
14,-125.3,40.4,5.5294532440171166e-05
15,-125.3,40.5,4.275049959498197e-05
16,-125.3,40.6,0.00014847393306970016
17,-125.3,40.7,4.679120602435156e-05
18,-125.3,40.8,3.021490726461383e-05
19,-125.3,40.9,2.534056927202385e-05
20,-125.3,41.0,8.841587476495993e-05
21,-125.3,41.1,1.7350856362165362e-05
22,-125.3,41.2,1.433653319051208e-05
23,-125.3,41.3,1.1851453592971749e-05
24,-125.3,41.4,9.770339388865994e-06
25,-125.3,41.5,7.990220189608879e-06
26,-125.3,41.6,6.4423263320672e-06
27,-125.3,41.7,5.0912853237109614e-06
28,-125.3,41.8,3.9256025917878795e-06
29,-125.3,41.9,2.9420755742726636e-06
30,-125.3,42.0,2.135302083257801e-06
31,-125.3,42.1,1.4941367044414892e-06
32,-125.3,42.2,1.0023326762596536e-06
33,-125.3,42.3,1.2237621652027548e-06
34,-125.2,39.8,1.1144871613765858e-05
35,-125.2,39.9,1.6730409915561663e-05
36,-125.2,40.0,2.332827337043964e-05
37,-125.2,40.1,3.018571157239541e-05
38,-125.2,40.2,4.525452538845184e-05
39,-125.2,40.3,4.953351325078925e-05
40,-125.2,40.4,4.233124414860887e-05
41,-125.2,40.5,4.1489939505884665e-05
42,-125.2,40.6,3.8460328693163414e-05
43,-125.2,40.7,0.00019027441866746828
44,-125.2,40.8,2.9216293523771494e-05
45,-125.2,40.9,2.4401845663008555e-05
46,-125.2,41.0,3.6222370466545455e-05
47,-125.2,41.1,1.6656462935668465e-05
48,-125.2,41.2,1.3510954032279844e-05
49,-125.2,41.3,1.107747711878752e-05
50,-125.2,41.4,9.086676610920496e-06
51,-125.2,41.5,7.4077570853351605e-06
52,-125.2,41.6,5.970369103730803e-06
53,-125.2,41.7,4.7331318022214115e-06
54,-125.2,41.8,3.6750538680209485e-06
55,-125.2,41.9,2.7832434514097772e-06
56,-125.2,42.0,2.0460664931259336e-06
57,-125.2,42.1,1.4512982266278476e-06
58,-125.2,42.2,9.86135840414635e-07
59,-125.2,42.3,6.370956921454803e-07
60,-125.2,42.4,3.8864035136588543e-07
61,-125.2,42.5,2.232068135687925e-07
62,-125.2,42.6,1.212660315898932e-07
63,-125.2,42.7,6.348200116237671e-08
64,-125.2,42.8,3.3574861618876066e-08
65,-125.2,42.9,1.945558025819305e-08
66,-125.1,39.7,6.70934451343975e-06
67,-125.1,39.8,1.0760041196800778e-05
68,-125.1,39.9,1.612248188073082e-05
69,-125.1,40.0,2.2468063682898665e-05
70,-125.1,40.1,2.9884808676906187e-05
71,-125.1,40.2,4.391773813268245e-05
72,-125.1,40.3,4.721759665225178e-05
73,-125.1,40.4,4.07489083785659e-05
74,-125.1,40.5,3.990315785458136e-05
75,-125.1,40.6,3.6934386474839127e-05
76,-125.1,40.7,3.2757182547055446e-05
77,-125.1,40.8,2.81469858392989e-05
78,-125.1,40.9,2.3658027337220117e-05
79,-125.1,41.0,1.9687137745574637e-05
80,-125.1,41.1,1.5905766129357167e-05
81,-125.1,41.2,1.2669391721391991e-05
82,-125.1,41.3,1.0330046495115683e-05
83,-125.1,41.4,8.432951979324233e-06
84,-125.1,41.5,6.851531514130215e-06
85,-125.1,41.6,5.516364633348046e-06
86,-125.1,41.7,4.3922511749695296e-06
87,-125.1,41.8,3.431708881196033e-06
88,-125.1,41.9,2.6141291226917554e-06
89,-125.1,42.0,1.9421554348528984e-06
90,-125.1,42.1,1.3928387470473355e-06
91,-125.1,42.2,9.560073974838984e-07
