,date
0,2012-10-01
1,2012-10-02
2,2012-10-03
3,2012-10-04
4,2012-10-05
5,2012-10-06
6,2012-10-07
7,2012-10-08
8,2012-10-09
9,2012-10-10
10,2012-10-11
11,2012-10-12
12,2012-10-13
13,2012-10-14
14,2012-10-15
15,2012-10-16
16,2012-10-17
17,2012-10-18
18,2012-10-19
19,2012-10-20
20,2012-10-21
21,2012-10-22
22,2012-10-23
23,2012-10-24
24,2012-10-25
25,2012-10-26
26,2012-10-27
27,2012-10-28
28,2012-10-29
29,2012-10-30
30,2012-10-31
31,2012-11-01
32,2012-11-02
33,2012-11-03
34,2012-11-04
35,2012-11-05
36,2012-11-06
37,2012-11-07
38,2012-11-08
39,2012-11-09
40,2012-11-10
41,2012-11-11
42,2012-11-12
43,2012-11-13
44,2012-11-14
45,2012-11-15
46,2012-11-16
47,2012-11-17
48,2012-11-18
49,2012-11-19
50,2012-11-20
51,2012-11-21
52,2012-11-22
53,2012-11-23
54,2012-11-24
55,2012-11-25
56,2012-11-26
57,2012-11-27
58,2012-11-28
59,2012-11-29
60,2012-11-30
61,2012-12-01
62,2012-12-02
63,2012-12-03
64,2012-12-04
65,2012-12-05
66,2012-12-06
67,2012-12-07
68,2012-12-08
69,2012-12-09
70,2012-12-10
71,2012-12-11
72,2012-12-12
73,2012-12-13
74,2012-12-14
75,2012-12-15
76,2012-12-16
77,2012-12-17
78,2012-12-18
79,2012-12-19
80,2012-12-20
81,2012-12-21
82,2012-12-22
83,2012-12-23
84,2012-12-24
85,2012-12-25
86,2012-12-26
87,2012-12-27
88,2012-12-28
89,2012-12-29
90,2012-12-30
91,2012-12-31
92,2013-01-01
93,2013-01-02
94,2013-01-03
95,2013-01-04
96,2013-01-05
97,2013-01-06
98,2013-01-07
99,2013-01-08
100,2013-01-09
101,2013-01-10
102,2013-01-11
103,2013-01-12
104,2013-01-13
105,2013-01-14
106,2013-01-15
107,2013-01-16
108,2013-01-17
109,2013-01-18
110,2013-01-19
111,2013-01-20
112,2013-01-21
113,2013-01-22
114,2013-01-23
115,2013-01-24
116,2013-01-25
117,2013-01-26
118,2013-01-27
119,2013-01-28
120,2013-01-29
121,2013-01-30
122,2013-01-31
123,2013-02-01
124,2013-02-02
125,2013-02-03
126,2013-02-04
127,2013-02-05
128,2013-02-06
129,2013-02-07
130,2013-02-08
131,2013-02-09
132,2013-02-10
133,2013-02-11
134,2013-02-12
135,2013-02-13
136,2013-02-14
137,2013-02-15
138,2013-02-16
139,2013-02-17
140,2013-02-18
141,2013-02-19
142,2013-02-20
143,2013-02-21
144,2013-02-22
145,2013-02-23
146,2013-02-24
147,2013-02-25
148,2013-02-26
149,2013-02-27
150,2013-02-28
151,2013-03-01
152,2013-03-02
153,2013-03-03
154,2013-03-04
155,2013-03-05
156,2013-03-06
157,2013-03-07
158,2013-03-08
159,2013-03-09
160,2013-03-10
161,2013-03-11
162,2013-03-12
163,2013-03-13
164,2013-03-14
165,2013-03-15
166,2013-03-16
167,2013-03-17
168,2013-03-18
169,2013-03-19
170,2013-03-20
171,2013-03-21
172,2013-03-22
173,2013-03-23
174,2013-03-24
175,2013-03-25
176,2013-03-26
177,2013-03-27
178,2013-03-28
179,2013-03-29
180,2013-03-30
181,2013-03-31
182,2013-04-01
183,2013-04-02
184,2013-04-03
185,2013-04-04
186,2013-04-05
187,2013-04-06
188,2013-04-07
189,2013-04-08
190,2013-04-09
191,2013-04-10
192,2013-04-11
193,2013-04-12
194,2013-04-13
195,2013-04-14
196,2013-04-15
197,2013-04-16
198,2013-04-17
199,2013-04-18
200,2013-04-19
201,2013-04-20
202,2013-04-21
203,2013-04-22
204,2013-04-23
205,2013-04-24
206,2013-04-25
207,2013-04-26
208,2013-04-27
209,2013-04-28
210,2013-04-29
211,2013-04-30
212,2013-05-01
213,2013-05-02
214,2013-05-03
215,2013-05-04
216,2013-05-05
217,2013-05-06
218,2013-05-07
219,2013-05-08
220,2013-05-09
221,2013-05-10
222,2013-05-11
223,2013-05-12
224,2013-05-13
225,2013-05-14
226,2013-05-15
227,2013-05-16
228,2013-05-17
229,2013-05-18
230,2013-05-19
231,2013-05-20
232,2013-05-21
233,2013-05-22
234,2013-05-23
235,2013-05-24
236,2013-05-25
237,2013-05-26
238,2013-05-27
239,2013-05-28
240,2013-05-29
241,2013-05-30
242,2013-05-31
243,2013-06-01
244,2013-06-02
245,2013-06-03
246,2013-06-04
247,2013-06-05
248,2013-06-06
249,2013-06-07
250,2013-06-08
251,2013-06-09
252,2013-06-10
253,2013-06-11
254,2013-06-12
255,2013-06-13
256,2013-06-14
257,2013-06-15
258,2013-06-16
259,2013-06-17
260,2013-06-18
261,2013-06-19
262,2013-06-20
263,2013-06-21
264,2013-06-22
265,2013-06-23
266,2013-06-24
267,2013-06-25
268,2013-06-26
269,2013-06-27
270,2013-06-28
271,2013-06-29
272,2013-06-30
273,2013-07-01
274,2013-07-02
275,2013-07-03
276,2013-07-04
277,2013-07-05
278,2013-07-06
279,2013-07-07
280,2013-07-08
281,2013-07-09
282,2013-07-10
283,2013-07-11
284,2013-07-12
285,2013-07-13
286,2013-07-14
287,2013-07-15
288,2013-07-16
289,2013-07-17
290,2013-07-18
291,2013-07-19
292,2013-07-20
293,2013-07-21
294,2013-07-22
295,2013-07-23
296,2013-07-24
297,2013-07-25
298,2013-07-26
299,2013-07-27
300,2013-07-28
301,2013-07-29
302,2013-07-30
303,2013-07-31
304,2013-08-01
305,2013-08-02
306,2013-08-03
307,2013-08-04
308,2013-08-05
309,2013-08-06
310,2013-08-07
311,2013-08-08
312,2013-08-09
313,2013-08-10
314,2013-08-11
315,2013-08-12
316,2013-08-13
317,2013-08-14
318,2013-08-15
319,2013-08-16
320,2013-08-17
321,2013-08-18
322,2013-08-19
323,2013-08-20
324,2013-08-21
325,2013-08-22
326,2013-08-23
327,2013-08-24
328,2013-08-25
329,2013-08-26
330,2013-08-27
331,2013-08-28
332,2013-08-29
333,2013-08-30
334,2013-08-31
335,2013-09-01
336,2013-09-02
337,2013-09-03
338,2013-09-04
339,2013-09-05
340,2013-09-06
341,2013-09-07
342,2013-09-08
343,2013-09-09
344,2013-09-10
345,2013-09-11
346,2013-09-12
347,2013-09-13
348,2013-09-14
349,2013-09-15
350,2013-09-16
351,2013-09-17
352,2013-09-18
353,2013-09-19
354,2013-09-20
355,2013-09-21
356,2013-09-22
357,2013-09-23
358,2013-09-24
359,2013-09-25
360,2013-09-26
361,2013-09-27
362,2013-09-28
363,2013-09-29
364,2013-09-30
365,2013-10-01
366,2013-10-02
367,2013-10-03
368,2013-10-04
369,2013-10-05
370,2013-10-06
371,2013-10-07
372,2013-10-08
373,2013-10-09
374,2013-10-10
375,2013-10-11
376,2013-10-12
377,2013-10-13
378,2013-10-14
379,2013-10-15
380,2013-10-16
381,2013-10-17
382,2013-10-18
383,2013-10-19
384,2013-10-20
385,2013-10-21
386,2013-10-22
387,2013-10-23
388,2013-10-24
389,2013-10-25
390,2013-10-26
391,2013-10-27
392,2013-10-28
393,2013-10-29
394,2013-10-30
395,2013-10-31
396,2013-11-01
397,2013-11-02
398,2013-11-03
399,2013-11-04
400,2013-11-05
401,2013-11-06
402,2013-11-07
403,2013-11-08
404,2013-11-09
405,2013-11-10
406,2013-11-11
407,2013-11-12
408,2013-11-13
409,2013-11-14
410,2013-11-15
411,2013-11-16
412,2013-11-17
413,2013-11-18
414,2013-11-19
415,2013-11-20
416,2013-11-21
417,2013-11-22
418,2013-11-23
419,2013-11-24
420,2013-11-25
421,2013-11-26
422,2013-11-27
423,2013-11-28
424,2013-11-29
425,2013-11-30
426,2013-12-01
427,2013-12-02
428,2013-12-03
429,2013-12-04
430,2013-12-05
431,2013-12-06
432,2013-12-07
433,2013-12-08
434,2013-12-09
435,2013-12-10
436,2013-12-11
437,2013-12-12
438,2013-12-13
439,2013-12-14
440,2013-12-15
441,2013-12-16
442,2013-12-17
443,2013-12-18
444,2013-12-19
445,2013-12-20
446,2013-12-21
447,2013-12-22
448,2013-12-23
449,2013-12-24
450,2013-12-25
451,2013-12-26
452,2013-12-27
453,2013-12-28
454,2013-12-29
455,2013-12-30
456,2013-12-31
457,2014-01-01
458,2014-01-01
459,2014-01-02
460,2014-01-02
461,2014-01-03
462,2014-01-03
463,2014-01-04
464,2014-01-04
465,2014-01-05
466,2014-01-05
467,2014-01-06
468,2014-01-06
469,2014-01-07
470,2014-01-07
471,2014-01-08
472,2014-01-08
473,2014-01-09
474,2014-01-09
475,2014-01-10
476,2014-01-10
477,2014-01-11
478,2014-01-11
479,2014-01-12
480,2014-01-12
481,2014-01-13
482,2014-01-13
483,2014-01-14
484,2014-01-14
485,2014-01-15
486,2014-01-15
487,2014-01-16
488,2014-01-16
489,2014-01-17
490,2014-01-17
491,2014-01-18
492,2014-01-18
493,2014-01-19
494,2014-01-19
495,2014-01-20
496,2014-01-20
497,2014-01-21
498,2014-01-21
499,2014-01-22
500,2014-01-22
501,2014-01-23
502,2014-01-23
503,2014-01-24
504,2014-01-24
505,2014-01-25
506,2014-01-25
507,2014-01-26
508,2014-01-26
509,2014-01-27
510,2014-01-27
511,2014-01-28
512,2014-01-28
513,2014-01-29
514,2014-01-29
515,2014-01-30
516,2014-01-30
517,2014-01-31
518,2014-01-31
519,2014-03-01
520,2014-03-02
521,2014-03-03
522,2014-03-04
523,2014-03-05
524,2014-03-06
525,2014-03-07
526,2014-03-08
527,2014-03-09
528,2014-03-10
529,2014-03-11
530,2014-03-12
531,2014-03-13
532,2014-03-14
533,2014-03-15
534,2014-03-16
535,2014-03-17
536,2014-03-18
537,2014-03-19
538,2014-03-20
539,2014-03-21
540,2014-03-22
541,2014-03-23
542,2014-03-24
543,2014-03-25
544,2014-03-26
545,2014-03-27
546,2014-03-28
547,2014-03-29
548,2014-03-30
549,2014-03-31
550,2014-04-01
551,2014-04-02
552,2014-04-03
553,2014-04-04
554,2014-04-05
555,2014-04-06
556,2014-04-07
557,2014-04-08
558,2014-04-09
559,2014-04-10
560,2014-04-11
561,2014-04-12
562,2014-04-13
563,2014-04-14
