,date,counts
9,2016-10-01,0.1628
19,2016-10-02,0.138
22,2016-10-03,0.1448
23,2016-10-04,0.1393
24,2016-10-05,0.1541
25,2016-10-06,0.1337
26,2016-10-07,0.132
27,2016-10-08,0.1377
28,2016-10-09,0.1356
0,2016-10-10,0.1273
1,2016-10-11,0.1351
2,2016-10-12,0.1488
3,2016-10-13,0.1348
29,2016-10-14,0.1382
4,2016-10-15,0.1253
5,2016-10-16,0.1263
6,2016-10-17,0.1286
7,2016-10-18,0.1209
8,2016-10-19,0.1288
10,2016-10-20,0.1342
11,2016-10-21,0.1283
12,2016-10-22,0.122
13,2016-10-23,0.1289
14,2016-10-24,0.1291
15,2016-10-25,0.1314
16,2016-10-26,0.1264
30,2016-10-27,0.12
17,2016-10-28,0.1572
18,2016-10-29,0.1597
20,2016-10-30,0.1458
21,2016-10-31,0.1365
41,2016-11-01,0.1364
51,2016-11-02,0.1196
53,2016-11-03,0.1422
54,2016-11-04,0.1312
60,2016-11-05,0.1479
55,2016-11-06,0.1247
56,2016-11-07,0.184
57,2016-11-08,0.1528
58,2016-11-09,0.1237
31,2016-11-10,0.1294
32,2016-11-11,0.1346
33,2016-11-12,0.1327
34,2016-11-13,0.1277
35,2016-11-14,0.1317
36,2016-11-15,0.1255
37,2016-11-16,0.1321
38,2016-11-17,0.137
39,2016-11-18,0.1325
40,2016-11-19,0.1355
59,2016-11-20,0.1276
42,2016-11-21,0.1282
43,2016-11-22,0.1272
44,2016-11-23,0.1325
45,2016-11-24,0.1189
46,2016-11-25,0.1243
47,2016-11-26,0.1204
48,2016-11-27,0.126
49,2016-11-28,0.127
50,2016-11-29,0.1158
52,2016-11-30,0.1351
70,2016-12-01,0.1331
80,2016-12-02,0.1158
83,2016-12-03,0.1289
84,2016-12-04,0.1355
85,2016-12-05,0.1343
86,2016-12-06,0.2059
87,2016-12-07,0.1538
88,2016-12-08,0.1402
89,2016-12-09,0.1489
61,2016-12-10,0.139
62,2016-12-11,0.142
63,2016-12-12,0.1373
64,2016-12-13,0.1231
90,2016-12-14,0.1264
65,2016-12-15,0.3556
66,2016-12-16,0.2231
67,2016-12-17,0.1805
68,2016-12-18,0.1643
69,2016-12-19,0.1478
71,2016-12-20,0.1474
72,2016-12-21,0.1366
73,2016-12-22,0.1471
74,2016-12-23,0.1394
75,2016-12-24,0.1319
76,2016-12-25,0.1426
77,2016-12-26,0.1385
91,2016-12-27,0.1244
78,2016-12-28,0.1255
79,2016-12-29,0.6467
81,2016-12-30,0.4017
82,2016-12-31,0.2839
101,2017-01-01,0.2686
111,2017-01-02,0.1961
114,2017-01-03,0.1938
115,2017-01-04,0.1848
116,2017-01-05,0.1939
117,2017-01-06,0.182
118,2017-01-07,0.1758
119,2017-01-08,0.1696
120,2017-01-09,0.1604
92,2017-01-10,0.1606
93,2017-01-11,0.1617
94,2017-01-12,0.1664
95,2017-01-13,0.1698
96,2017-01-14,0.1573
121,2017-01-15,0.1449
97,2017-01-16,0.143
98,2017-01-17,0.1456
99,2017-01-18,0.1475
100,2017-01-19,0.1449
102,2017-01-20,0.1319
103,2017-01-21,0.1463
104,2017-01-22,0.143
105,2017-01-23,0.1395
106,2017-01-24,0.1412
107,2017-01-25,0.1337
108,2017-01-26,0.1392
109,2017-01-27,0.1499
122,2017-01-28,0.1396
110,2017-01-29,0.1399
112,2017-01-30,0.1302
113,2017-01-31,0.1253
134,2017-02-01,0.1294
143,2017-02-02,0.1255
144,2017-02-03,0.1333
145,2017-02-04,0.1293
146,2017-02-05,0.1307
147,2017-02-06,0.1349
148,2017-02-07,0.1373
