id,date,counts
9,2016-10-01,0.1756
19,2016-10-02,0.1539
22,2016-10-03,0.161
23,2016-10-04,0.1507
24,2016-10-05,0.1511
25,2016-10-06,0.1402
26,2016-10-07,0.1353
30,2016-10-08,0.1421
27,2016-10-09,0.137
0,2016-10-10,0.1448
28,2016-10-11,0.1338
1,2016-10-12,0.1413
2,2016-10-13,0.1331
3,2016-10-14,0.1317
4,2016-10-15,0.1438
5,2016-10-16,0.145
6,2016-10-17,0.1403
7,2016-10-18,0.1414
8,2016-10-19,0.1287
10,2016-10-20,0.1389
11,2016-10-21,0.1324
12,2016-10-22,0.1365
13,2016-10-23,0.1337
29,2016-10-24,0.131
14,2016-10-25,0.147
15,2016-10-26,0.1423
16,2016-10-27,0.1374
17,2016-10-28,0.1767
18,2016-10-29,0.1569
20,2016-10-30,0.1366
21,2016-10-31,0.1419
40,2016-11-01,0.1374
51,2016-11-02,0.1472
60,2016-11-03,0.1406
53,2016-11-04,0.1356
54,2016-11-05,0.1373
55,2016-11-06,0.1212
56,2016-11-07,0.1846
57,2016-11-08,0.1524
58,2016-11-09,0.1398
31,2016-11-10,0.1407
32,2016-11-11,0.1443
33,2016-11-12,0.1467
34,2016-11-13,0.1349
35,2016-11-14,0.1447
36,2016-11-15,0.1385
37,2016-11-16,0.1369
38,2016-11-17,0.1325
39,2016-11-18,0.1424
59,2016-11-19,0.1342
41,2016-11-20,0.1317
42,2016-11-21,0.1334
43,2016-11-22,0.1353
44,2016-11-23,0.1331
45,2016-11-24,0.1422
46,2016-11-25,0.1337
47,2016-11-26,0.1329
48,2016-11-27,0.1257
49,2016-11-28,0.1218
50,2016-11-29,0.1285
52,2016-11-30,0.1226
70,2016-12-01,0.1265
80,2016-12-02,0.133
83,2016-12-03,0.128
84,2016-12-04,0.1362
85,2016-12-05,0.1331
86,2016-12-06,0.212
87,2016-12-07,0.1748
91,2016-12-08,0.1429
88,2016-12-09,0.1503
61,2016-12-10,0.1412
89,2016-12-11,0.1328
62,2016-12-12,0.1303
63,2016-12-13,0.1203
64,2016-12-14,0.1314
65,2016-12-15,0.3721
66,2016-12-16,0.2219
67,2016-12-17,0.1892
68,2016-12-18,0.183
69,2016-12-19,0.1611
71,2016-12-20,0.1601
72,2016-12-21,0.1473
73,2016-12-22,0.1457
74,2016-12-23,0.1537
90,2016-12-24,0.1551
75,2016-12-25,0.1482
76,2016-12-26,0.1458
77,2016-12-27,0.1537
78,2016-12-28,0.1512
79,2016-12-29,0.6416
81,2016-12-30,0.406
82,2016-12-31,0.2764
101,2017-01-01,0.2812
111,2017-01-02,0.1992
114,2017-01-03,0.1956
115,2017-01-04,0.1927
116,2017-01-05,0.2118
117,2017-01-06,0.1899
118,2017-01-07,0.1666
119,2017-01-08,0.1599
120,2017-01-09,0.1707
92,2017-01-10,0.1664
93,2017-01-11,0.1726
121,2017-01-12,0.1685
94,2017-01-13,0.1663
95,2017-01-14,0.1601
96,2017-01-15,0.1614
97,2017-01-16,0.1519
98,2017-01-17,0.1545
99,2017-01-18,0.1436
100,2017-01-19,0.1462
102,2017-01-20,0.1407
103,2017-01-21,0.1373
104,2017-01-22,0.1388
105,2017-01-23,0.1524
106,2017-01-24,0.1508
122,2017-01-25,0.1376
107,2017-01-26,0.1412
108,2017-01-27,0.1534
109,2017-01-28,0.1489
110,2017-01-29,0.1468
112,2017-01-30,0.1487
113,2017-01-31,0.1341
134,2017-02-01,0.1286
143,2017-02-02,0.1376
144,2017-02-03,0.1361
145,2017-02-04,0.1311
146,2017-02-05,0.1273
147,2017-02-06,0.1391
148,2017-02-07,0.1324
149,2017-02-08,0.1477
150,2017-02-09,0.1406
125,2017-02-10,0.1328
126,2017-02-11,0.1291
127,2017-02-12,0.1382
128,2017-02-13,0.1263
123,2017-02-14,0.1362
129,2017-02-15,0.1498
130,2017-02-16,0.1354
131,2017-02-17,0.1387
132,2017-02-18,0.1353
133,2017-02-19,0.1252
135,2017-02-20,0.1396
136,2017-02-21,0.1247
137,2017-02-22,0.1793
138,2017-02-23,0.1353
139,2017-02-24,0.1364
140,2017-02-25,0.1427
141,2017-02-26,0.1387
142,2017-02-27,0.1313
124,2017-02-28,0.1319
160,2017-03-01,0.1411
170,2017-03-02,0.1236
173,2017-03-03,0.1255
174,2017-03-04,0.1414
175,2017-03-05,0.1385
176,2017-03-06,0.1303
177,2017-03-07,0.2024
178,2017-03-08,0.1586
179,2017-03-09,0.1398
151,2017-03-10,0.1444
152,2017-03-11,0.1491
180,2017-03-12,0.1369
153,2017-03-13,0.15
154,2017-03-14,0.1473
155,2017-03-15,0.1325
156,2017-03-16,0.1182
157,2017-03-17,0.1268
158,2017-03-18,0.1413
159,2017-03-19,0.1441
161,2017-03-20,0.1307
162,2017-03-21,0.1256
163,2017-03-22,0.1357
164,2017-03-23,0.2102
165,2017-03-24,0.1633
181,2017-03-25,0.1658
166,2017-03-26,0.1426
167,2017-03-27,0.1429
168,2017-03-28,0.1322
169,2017-03-29,0.1408
171,2017-03-30,0.1368
172,2017-03-31,0.1159
191,2017-04-01,0.1808
202,2017-04-02,0.1569
211,2017-04-03,0.1447
204,2017-04-04,0.1272
