,date
10,2010-09-01
21,2010-09-02
23,2010-09-03
24,2010-09-04
25,2010-09-05
26,2010-09-06
27,2010-09-07
28,2010-09-08
29,2010-09-09
0,2010-09-10
1,2010-09-11
2,2010-09-12
3,2010-09-13
4,2010-09-14
5,2010-09-15
6,2010-09-16
7,2010-09-17
8,2010-09-18
9,2010-09-19
11,2010-09-20
12,2010-09-21
13,2010-09-22
14,2010-09-23
15,2010-09-24
16,2010-09-25
17,2010-09-26
18,2010-09-27
19,2010-09-28
20,2010-09-29
22,2010-09-30
40,2010-10-01
51,2010-10-02
54,2010-10-03
55,2010-10-04
56,2010-10-05
57,2010-10-06
58,2010-10-07
59,2010-10-08
60,2010-10-09
30,2010-10-10
31,2010-10-11
32,2010-10-12
33,2010-10-13
34,2010-10-14
35,2010-10-15
36,2010-10-16
37,2010-10-17
38,2010-10-18
39,2010-10-19
41,2010-10-20
42,2010-10-21
43,2010-10-22
44,2010-10-23
45,2010-10-24
46,2010-10-25
47,2010-10-26
48,2010-10-27
49,2010-10-28
50,2010-10-29
52,2010-10-30
53,2010-10-31
71,2010-11-01
82,2010-11-02
84,2010-11-03
85,2010-11-04
86,2010-11-05
87,2010-11-06
88,2010-11-07
89,2010-11-08
90,2010-11-09
61,2010-11-10
62,2010-11-11
63,2010-11-12
64,2010-11-13
65,2010-11-14
66,2010-11-15
67,2010-11-16
68,2010-11-17
69,2010-11-18
70,2010-11-19
72,2010-11-20
73,2010-11-21
74,2010-11-22
75,2010-11-23
76,2010-11-24
77,2010-11-25
78,2010-11-26
79,2010-11-27
80,2010-11-28
81,2010-11-29
83,2010-11-30
101,2010-12-01
112,2010-12-02
115,2010-12-03
116,2010-12-04
117,2010-12-05
118,2010-12-06
119,2010-12-07
120,2010-12-08
121,2010-12-09
91,2010-12-10
92,2010-12-11
93,2010-12-12
94,2010-12-13
95,2010-12-14
96,2010-12-15
97,2010-12-16
98,2010-12-17
99,2010-12-18
100,2010-12-19
102,2010-12-20
103,2010-12-21
104,2010-12-22
105,2010-12-23
106,2010-12-24
107,2010-12-25
108,2010-12-26
109,2010-12-27
110,2010-12-28
111,2010-12-29
113,2010-12-30
114,2010-12-31
132,2011-01-01
143,2011-01-02
146,2011-01-03
147,2011-01-04
148,2011-01-05
149,2011-01-06
150,2011-01-07
151,2011-01-08
152,2011-01-09
122,2011-01-10
123,2011-01-11
124,2011-01-12
125,2011-01-13
126,2011-01-14
127,2011-01-15
128,2011-01-16
129,2011-01-17
130,2011-01-18
131,2011-01-19
133,2011-01-20
134,2011-01-21
135,2011-01-22
136,2011-01-23
137,2011-01-24
138,2011-01-25
139,2011-01-26
140,2011-01-27
141,2011-01-28
142,2011-01-29
144,2011-01-30
145,2011-01-31
163,2011-02-01
173,2011-02-02
174,2011-02-03
175,2011-02-04
176,2011-02-05
177,2011-02-06
178,2011-02-07
179,2011-02-08
180,2011-02-09
153,2011-02-10
154,2011-02-11
155,2011-02-12
156,2011-02-13
157,2011-02-14
158,2011-02-15
159,2011-02-16
160,2011-02-17
161,2011-02-18
162,2011-02-19
164,2011-02-20
165,2011-02-21
166,2011-02-22
167,2011-02-23
168,2011-02-24
169,2011-02-25
170,2011-02-26
171,2011-02-27
172,2011-02-28
191,2011-03-01
202,2011-03-02
205,2011-03-03
206,2011-03-04
207,2011-03-05
208,2011-03-06
209,2011-03-07
210,2011-03-08
211,2011-03-09
181,2011-03-10
182,2011-03-11
183,2011-03-12
184,2011-03-13
185,2011-03-14
186,2011-03-15
187,2011-03-16
188,2011-03-17
